Upper Bounds	MAE	R_square	length_scale
0.11	0.1225	-0.387	0.11
0.13	0.1133	-0.136	0.13
0.15000000000000002	0.1042	0.087	0.15
0.17	0.0927	0.317	0.17
0.19	0.0798	0.527	0.19
0.21000000000000002	0.0673	0.69	0.21
0.23000000000000004	0.0561	0.801	0.23
0.25	0.0463	0.872	0.25
0.27	0.0379	0.916	0.27
0.29000000000000004	0.0312	0.943	0.29
0.31000000000000005	0.0263	0.961	0.31
0.33	0.0225	0.972	0.33
0.35000000000000003	0.0195	0.978	0.35
0.37000000000000005	0.0176	0.982	0.37
0.39	0.0173	0.983	0.39
0.41000000000000003	0.0183	0.982	0.41
0.43000000000000005	0.0203	0.981	0.43
0.45000000000000007	0.0205	0.98	0.431
0.4700000000000001	0.0205	0.98	0.431
0.49000000000000005	0.0205	0.98	0.431
0.5100000000000001	0.0205	0.98	0.431
0.5300000000000001	0.0205	0.98	0.431
0.55	0.0205	0.98	0.431
0.5700000000000001	0.0205	0.98	0.431
0.5900000000000001	0.0205	0.98	0.431
