Length Scale	MAE	R_square	RMSE
0.1	0.1306	-1.962	0.2423
0.12000000000000001	0.1232	-1.275	0.23
0.14	0.1129	-0.679	0.2152
0.16000000000000003	0.1018	-0.19	0.1985
0.18000000000000002	0.0911	0.171	0.1812
0.2	0.0799	0.42	0.1646
0.22000000000000003	0.0695	0.584	0.1496
0.24000000000000002	0.0623	0.691	0.1363
0.26	0.0571	0.761	0.1243
0.28	0.0524	0.811	0.1138
0.30000000000000004	0.0478	0.847	0.1047
0.32000000000000006	0.0437	0.873	0.0973
0.3400000000000001	0.0403	0.891	0.0913
0.3600000000000001	0.0377	0.905	0.0863
0.38	0.0356	0.916	0.0819
0.4	0.0336	0.926	0.0775
0.42000000000000004	0.0318	0.936	0.0729
0.44000000000000006	0.0301	0.945	0.0681
0.4600000000000001	0.0285	0.953	0.0632
0.4800000000000001	0.0272	0.961	0.0583
0.5000000000000001	0.0261	0.967	0.0538
0.5200000000000001	0.0251	0.972	0.0499
0.54	0.0245	0.975	0.0469
