Upper Bounds	MAE	R_square	length_scale
0.11	0.1472	-5.489	0.11
0.13	0.1425	-4.088	0.13
0.15000000000000002	0.1394	-3.276	0.15
0.17	0.1363	-2.733	0.17
0.19	0.1337	-2.341	0.19
0.21000000000000002	0.1315	-2.047	0.21
0.23000000000000004	0.1318	-2.032	0.212
0.25	0.1323	-2.039	0.212
0.27	0.1326	-2.033	0.212
0.29000000000000004	0.1326	-2.031	0.212
0.31000000000000005	0.1326	-2.03	0.212
0.33	0.1326	-2.03	0.212
0.35000000000000003	0.1326	-2.03	0.212
0.37000000000000005	0.1326	-2.03	0.212
0.39	0.1326	-2.03	0.212
0.41000000000000003	0.1326	-2.03	0.212
0.43000000000000005	0.1326	-2.03	0.212
0.45000000000000007	0.1326	-2.03	0.212
0.4700000000000001	0.1326	-2.03	0.212
0.49000000000000005	0.1326	-2.03	0.212
0.5100000000000001	0.1326	-2.03	0.212
0.5300000000000001	0.1326	-2.03	0.212
0.55	0.1326	-2.03	0.212
0.5700000000000001	0.1326	-2.03	0.212
0.5900000000000001	0.1326	-2.03	0.212
