Upper Bounds	MAE	R_square	length_scale
0.11	0.2027	-2.596	0.11
0.13	0.1958	-2.563	0.13
0.15000000000000002	0.1904	-2.418	0.15
0.17	0.1847	-2.092	0.17
0.19	0.177	-1.61	0.19
0.21000000000000002	0.1665	-1.057	0.21
0.23000000000000004	0.1535	-0.552	0.23
0.25	0.1392	-0.149	0.25
0.27	0.1246	0.143	0.27
0.29000000000000004	0.1129	0.344	0.29
0.31000000000000005	0.1062	0.479	0.31
0.33	0.1009	0.57	0.33
0.35000000000000003	0.0966	0.633	0.35
0.37000000000000005	0.0937	0.677	0.37
0.39	0.0911	0.709	0.39
0.41000000000000003	0.0895	0.734	0.41
0.43000000000000005	0.0894	0.754	0.43
0.45000000000000007	0.0897	0.766	0.45
0.4700000000000001	0.0897	0.768	0.452
0.49000000000000005	0.0894	0.77	0.452
0.5100000000000001	0.0894	0.77	0.452
0.5300000000000001	0.0894	0.77	0.452
0.55	0.0894	0.77	0.452
0.5700000000000001	0.0894	0.77	0.452
0.5900000000000001	0.0894	0.77	0.452
