Upper Bounds	MAE	R_square	length_scale
0.11	0.1689	-6.57	0.11
0.13	0.1639	-5.666	0.13
0.15000000000000002	0.1588	-4.92	0.15
0.17	0.1544	-4.235	0.17
0.19	0.1508	-3.654	0.19
0.21000000000000002	0.1475	-3.181	0.21
0.23000000000000004	0.1448	-2.82	0.23
0.25	0.1434	-2.669	0.25
0.27	0.1431	-2.642	0.27
0.29000000000000004	0.1433	-2.633	0.281
0.31000000000000005	0.1433	-2.622	0.281
0.33	0.1432	-2.623	0.281
0.35000000000000003	0.1432	-2.623	0.281
0.37000000000000005	0.1432	-2.623	0.281
0.39	0.1432	-2.623	0.281
0.41000000000000003	0.1432	-2.623	0.281
0.43000000000000005	0.1432	-2.623	0.281
0.45000000000000007	0.1432	-2.623	0.281
0.4700000000000001	0.1432	-2.623	0.281
0.49000000000000005	0.1432	-2.623	0.281
0.5100000000000001	0.1432	-2.623	0.281
0.5300000000000001	0.1432	-2.623	0.281
0.55	0.1432	-2.623	0.281
0.5700000000000001	0.1432	-2.623	0.281
0.5900000000000001	0.1432	-2.623	0.281
