Upper Bounds	MAE	R_square	length_scale
0.11	0.1483	-1.601	0.11
0.13	0.1351	-0.737	0.13
0.15000000000000002	0.1185	-0.076	0.15
0.17	0.1013	0.325	0.17
0.19	0.0873	0.555	0.19
0.21000000000000002	0.0748	0.691	0.21
0.23000000000000004	0.0659	0.777	0.23
0.25	0.0592	0.835	0.25
0.27	0.0532	0.875	0.27
0.29000000000000004	0.0479	0.904	0.29
0.31000000000000005	0.0436	0.925	0.31
0.33	0.0405	0.941	0.33
0.35000000000000003	0.0376	0.953	0.35
0.37000000000000005	0.0349	0.962	0.37
0.39	0.0325	0.969	0.39
0.41000000000000003	0.0319	0.97	0.401
0.43000000000000005	0.0319	0.97	0.401
0.45000000000000007	0.0319	0.97	0.401
0.4700000000000001	0.0319	0.97	0.401
0.49000000000000005	0.0319	0.97	0.401
0.5100000000000001	0.0319	0.97	0.401
0.5300000000000001	0.0319	0.97	0.401
0.55	0.0319	0.97	0.401
0.5700000000000001	0.0319	0.97	0.401
0.5900000000000001	0.0319	0.97	0.401
