Upper Bounds	MAE	R_square	length_scale
0.11	0.1619	-4.89	0.11
0.13	0.1602	-4.93	0.13
0.15000000000000002	0.1594	-4.982	0.15
0.17	0.1583	-4.933	0.17
0.19	0.1561	-4.666	0.19
0.21000000000000002	0.1535	-4.224	0.21
0.23000000000000004	0.1504	-3.682	0.23
0.25	0.1472	-3.123	0.25
0.27	0.1445	-2.614	0.27
0.29000000000000004	0.1418	-2.184	0.29
0.31000000000000005	0.1392	-1.812	0.31
0.33	0.1358	-1.473	0.33
0.35000000000000003	0.1319	-1.166	0.35
0.37000000000000005	0.1298	-0.894	0.37
0.39	0.1286	-0.661	0.39
0.41000000000000003	0.1274	-0.463	0.41
0.43000000000000005	0.1264	-0.305	0.43
0.45000000000000007	0.127	-0.231	0.45
0.4700000000000001	0.1287	-0.198	0.451
0.49000000000000005	0.1304	-0.175	0.451
0.5100000000000001	0.1412	-0.447	0.292
0.5300000000000001	0.1334	-0.132	0.451
0.55	0.1336	-0.129	0.451
0.5700000000000001	0.1336	-0.129	0.451
0.5900000000000001	0.1336	-0.129	0.451
