Upper Bounds	MAE	R_square	length_scale
0.11	0.1213	-0.536	0.11
0.13	0.109	-0.17	0.13
0.15000000000000002	0.0945	0.189	0.15
0.17	0.079	0.483	0.17
0.19	0.0641	0.685	0.19
0.21000000000000002	0.0512	0.81	0.21
0.23000000000000004	0.0405	0.885	0.23
0.25	0.0324	0.929	0.25
0.27	0.026	0.956	0.27
0.29000000000000004	0.0209	0.972	0.29
0.31000000000000005	0.0169	0.982	0.31
0.33	0.0138	0.988	0.33
0.35000000000000003	0.0115	0.991	0.35
0.37000000000000005	0.0105	0.993	0.37
0.39	0.0104	0.993	0.39
0.41000000000000003	0.011	0.992	0.41
0.43000000000000005	0.0123	0.991	0.43
0.45000000000000007	0.0129	0.99	0.437
0.4700000000000001	0.0129	0.99	0.437
0.49000000000000005	0.0129	0.99	0.437
0.5100000000000001	0.0129	0.99	0.437
0.5300000000000001	0.0129	0.99	0.437
0.55	0.0129	0.99	0.437
0.5700000000000001	0.0129	0.99	0.437
0.5900000000000001	0.0129	0.99	0.437
