Length Scale	MAE	R_square	RMSE
0.1	0.1669	-0.704	0.2316
0.12000000000000001	0.1479	-0.186	0.2104
0.14	0.1231	0.28	0.1815
0.16000000000000003	0.099	0.596	0.1505
0.18000000000000002	0.0773	0.775	0.1226
0.2	0.0609	0.868	0.1003
0.22000000000000003	0.0496	0.916	0.0838
0.24000000000000002	0.0427	0.943	0.0719
0.26	0.0388	0.958	0.063
0.28	0.0358	0.968	0.0563
0.30000000000000004	0.0335	0.974	0.0511
0.32000000000000006	0.0318	0.978	0.0472
0.3400000000000001	0.0303	0.981	0.0444
0.3600000000000001	0.029	0.983	0.0427
0.38	0.0285	0.984	0.0416
0.4	0.028	0.985	0.0406
0.42000000000000004	0.0275	0.985	0.0397
0.44000000000000006	0.0265	0.986	0.0383
0.4600000000000001	0.0253	0.987	0.0368
0.4800000000000001	0.0241	0.988	0.0354
0.5000000000000001	0.0237	0.988	0.035
0.5200000000000001	0.0246	0.988	0.0357
0.54	0.0252	0.987	0.0364
