Length Scale	MAE	R_square	RMSE
0.1	0.1742	-19.081	0.2494
0.12000000000000001	0.164	-11.242	0.2416
0.14	0.157	-7.665	0.2355
0.16000000000000003	0.1542	-5.649	0.2306
0.18000000000000002	0.1517	-4.383	0.2266
0.2	0.1493	-3.544	0.2233
0.22000000000000003	0.1468	-2.984	0.2206
0.24000000000000002	0.1441	-2.572	0.2183
0.26	0.1414	-2.266	0.2167
0.28	0.139	-2.036	0.2156
0.30000000000000004	0.1368	-1.862	0.2151
0.32000000000000006	0.1348	-1.726	0.2152
0.3400000000000001	0.1331	-1.618	0.216
0.3600000000000001	0.14	-2.265	0.2237
0.38	0.1464	-2.65	0.2316
0.4	0.1493	-2.77	0.2374
0.42000000000000004	0.1516	-2.81	0.243
0.44000000000000006	0.1718	-5.416	0.2615
0.4600000000000001	0.1851	-6.821	0.2744
0.4800000000000001	0.1951	-7.347	0.2844
0.5000000000000001	0.2031	-7.434	0.2931
0.5200000000000001	0.2098	-7.275	0.3008
0.54	0.2154	-6.992	0.3079
