Length Scale	MAE	R_square	RMSE
0.1	0.0827	-15.097	0.1125
0.12000000000000001	0.077	-10.806	0.1086
0.14	0.0722	-8.279	0.1057
0.16000000000000003	0.0694	-6.74	0.1036
0.18000000000000002	0.0689	-5.775	0.1022
0.2	0.0683	-5.145	0.1012
0.22000000000000003	0.0678	-4.722	0.1005
0.24000000000000002	0.0673	-4.441	0.1001
0.26	0.067	-4.269	0.1
0.28	0.0669	-4.191	0.1002
0.30000000000000004	0.0669	-4.189	0.1009
0.32000000000000006	0.0676	-4.151	0.1017
0.3400000000000001	0.0679	-4.053	0.1026
0.3600000000000001	0.0686	-4.04	0.1035
0.38	0.0698	-3.962	0.1045
0.4	0.0705	-4.217	0.1053
0.42000000000000004	0.0711	-4.196	0.1059
0.44000000000000006	0.0715	-4.139	0.1063
0.4600000000000001	0.0724	-4.036	0.1066
0.4800000000000001	0.0722	-3.899	0.1058
0.5000000000000001	0.0722	-4.056	0.1059
0.5200000000000001	0.0725	-4.055	0.1059
0.54	0.0734	-3.989	0.1058
