Upper Bounds	MAE	R_square	length_scale
0.11	0.2327	-5.794	0.11
0.13	0.2307	-5.781	0.13
0.15000000000000002	0.2304	-5.74	0.15
0.17	0.2313	-5.657	0.17
0.19	0.233	-5.528	0.19
0.21000000000000002	0.2344	-5.308	0.21
0.23000000000000004	0.2358	-5.166	0.23
0.25	0.2366	-5.095	0.25
0.27	0.2374	-5.035	0.27
0.29000000000000004	0.238	-4.961	0.29
0.31000000000000005	0.2382	-4.843	0.31
0.33	0.2379	-4.655	0.33
0.35000000000000003	0.2366	-4.387	0.35
0.37000000000000005	0.2342	-4.044	0.37
0.39	0.2305	-3.641	0.39
0.41000000000000003	0.2259	-3.206	0.41
0.43000000000000005	0.2203	-2.762	0.43
0.45000000000000007	0.2145	-2.333	0.45
0.4700000000000001	0.2083	-1.932	0.47
0.49000000000000005	0.2018	-1.57	0.49
0.5100000000000001	0.1953	-1.251	0.51
0.5300000000000001	0.1908	-1.071	0.53
0.55	0.1865	-0.918	0.55
0.5700000000000001	0.1846	-0.864	0.57
0.5900000000000001	0.1833	-0.84	0.59
