Upper Bounds	MAE	R_square	length_scale
0.11	0.1645	-5.852	0.11
0.13	0.1598	-5.037	0.13
0.15000000000000002	0.1558	-4.542	0.15
0.17	0.1525	-4.199	0.17
0.19	0.1514	-4.268	0.173
0.21000000000000002	0.1507	-4.307	0.173
0.23000000000000004	0.1499	-4.363	0.173
0.25	0.1501	-4.379	0.173
0.27	0.1502	-4.387	0.173
0.29000000000000004	0.1505	-4.386	0.173
0.31000000000000005	0.1505	-4.386	0.173
0.33	0.1505	-4.385	0.173
0.35000000000000003	0.1505	-4.385	0.173
0.37000000000000005	0.1505	-4.386	0.173
0.39	0.1505	-4.386	0.173
0.41000000000000003	0.1505	-4.386	0.173
0.43000000000000005	0.1505	-4.386	0.173
0.45000000000000007	0.1505	-4.386	0.173
0.4700000000000001	0.1505	-4.385	0.173
0.49000000000000005	0.1505	-4.385	0.173
0.5100000000000001	0.1505	-4.386	0.173
0.5300000000000001	0.1505	-4.385	0.173
0.55	0.1505	-4.386	0.173
0.5700000000000001	0.1505	-4.386	0.173
0.5900000000000001	0.1505	-4.386	0.173
