Length Scale	MAE	R_square	RMSE
0.1	0.1328	-0.898	0.1905
0.12000000000000001	0.1245	-0.736	0.187
0.14	0.1152	-0.47	0.1789
0.16000000000000003	0.1	-0.097	0.1631
0.18000000000000002	0.0593	0.384	0.1212
0.2	0.0379	0.658	0.0897
0.22000000000000003	0.0101	0.967	0.0251
0.24000000000000002	0.0065	0.993	0.0116
0.26	0.0057	0.994	0.0103
0.28	0.0051	0.996	0.0088
0.30000000000000004	0.0045	0.997	0.0077
0.32000000000000006	0.004	0.997	0.007
0.3400000000000001	0.0041	0.998	0.0068
0.3600000000000001	0.0044	0.997	0.0071
0.38	0.0048	0.997	0.0076
0.4	0.0052	0.996	0.0083
0.42000000000000004	0.0056	0.996	0.009
0.44000000000000006	0.0063	0.995	0.0098
0.4600000000000001	0.0069	0.994	0.0105
0.4800000000000001	0.0075	0.993	0.0114
0.5000000000000001	0.0084	0.991	0.0128
0.5200000000000001	0.0097	0.988	0.0149
0.54	0.0117	0.98	0.0186
