Length Scale	MAE	R_square	RMSE
0.1	0.1823	-1.845	0.2631
0.12000000000000001	0.1746	-1.648	0.2576
0.14	0.1672	-1.307	0.2511
0.16000000000000003	0.1585	-0.892	0.2427
0.18000000000000002	0.148	-0.488	0.2317
0.2	0.1384	-0.139	0.2178
0.22000000000000003	0.1273	0.141	0.2016
0.24000000000000002	0.1159	0.359	0.1842
0.26	0.1045	0.524	0.1666
0.28	0.0939	0.649	0.1494
0.30000000000000004	0.0845	0.741	0.1335
0.32000000000000006	0.0759	0.807	0.1194
0.3400000000000001	0.068	0.853	0.1074
0.3600000000000001	0.0625	0.885	0.0979
0.38	0.0581	0.906	0.091
0.4	0.0556	0.919	0.0866
0.42000000000000004	0.0537	0.926	0.0846
0.44000000000000006	0.0527	0.929	0.0845
0.4600000000000001	0.0528	0.93	0.0844
0.4800000000000001	0.0563	0.923	0.0883
0.5000000000000001	0.0579	0.921	0.0899
0.5200000000000001	0.0588	0.918	0.0914
0.54	0.0588	0.912	0.0934
