Length Scale	MAE	R_square	RMSE
0.1	0.14	-0.889	0.2248
0.12000000000000001	0.1348	-0.658	0.22
0.14	0.1316	-0.476	0.2164
0.16000000000000003	0.1273	-0.36	0.2125
0.18000000000000002	0.1225	-0.233	0.2081
0.2	0.1148	-0.091	0.2018
0.22000000000000003	0.1068	0.043	0.1944
0.24000000000000002	0.0994	0.171	0.1862
0.26	0.0918	0.29	0.1772
0.28	0.0854	0.397	0.1681
0.30000000000000004	0.0799	0.49	0.1589
0.32000000000000006	0.075	0.571	0.1498
0.3400000000000001	0.0701	0.639	0.1411
0.3600000000000001	0.066	0.696	0.1327
0.38	0.062	0.743	0.1247
0.4	0.058	0.783	0.1171
0.42000000000000004	0.0542	0.817	0.1098
0.44000000000000006	0.0505	0.845	0.1028
0.4600000000000001	0.0475	0.869	0.0962
0.4800000000000001	0.0454	0.887	0.0902
0.5000000000000001	0.0446	0.898	0.0862
0.5200000000000001	0.0479	0.882	0.092
0.54	0.0617	0.774	0.1232
