Upper Bounds	MAE	R_square	length_scale
0.11	0.1305	-0.725	0.11
0.13	0.1216	-0.385	0.13
0.15000000000000002	0.1127	-0.118	0.15
0.17	0.1039	0.102	0.17
0.19	0.0964	0.285	0.19
0.21000000000000002	0.0886	0.434	0.21
0.23000000000000004	0.0821	0.551	0.23
0.25	0.076	0.665	0.25
0.27	0.0677	0.753	0.27
0.29000000000000004	0.0631	0.815	0.29
0.31000000000000005	0.0584	0.861	0.31
0.33	0.0539	0.893	0.33
0.35000000000000003	0.0502	0.913	0.35
0.37000000000000005	0.0488	0.924	0.37
0.39	0.0493	0.924	0.377
0.41000000000000003	0.0493	0.924	0.377
0.43000000000000005	0.0493	0.924	0.377
0.45000000000000007	0.0493	0.924	0.377
0.4700000000000001	0.0493	0.924	0.377
0.49000000000000005	0.0493	0.924	0.377
0.5100000000000001	0.0493	0.924	0.377
0.5300000000000001	0.0493	0.924	0.377
0.55	0.0493	0.924	0.377
0.5700000000000001	0.0493	0.924	0.377
0.5900000000000001	0.0493	0.924	0.377
