Upper Bounds	MAE	R_square	length_scale
0.11	0.1426	-1.235	0.11
0.13	0.1386	-1.064	0.13
0.15000000000000002	0.1347	-0.92	0.15
0.17	0.1297	-0.744	0.17
0.19	0.1228	-0.51	0.19
0.21000000000000002	0.1143	-0.224	0.21
0.23000000000000004	0.1044	0.073	0.23
0.25	0.094	0.338	0.25
0.27	0.0822	0.53	0.27
0.29000000000000004	0.0705	0.689	0.29
0.31000000000000005	0.0636	0.782	0.31
0.33	0.0577	0.843	0.33
0.35000000000000003	0.0524	0.885	0.35
0.37000000000000005	0.0477	0.914	0.37
0.39	0.0468	0.919	0.382
0.41000000000000003	0.0467	0.918	0.382
0.43000000000000005	0.0468	0.919	0.382
0.45000000000000007	0.0468	0.919	0.382
0.4700000000000001	0.0468	0.919	0.382
0.49000000000000005	0.0468	0.919	0.382
0.5100000000000001	0.0468	0.919	0.382
0.5300000000000001	0.0468	0.919	0.382
0.55	0.0468	0.919	0.382
0.5700000000000001	0.0468	0.919	0.382
0.5900000000000001	0.0468	0.919	0.382
