Length Scale	MAE	R_square	RMSE
0.1	0.1384	-0.534	0.1882
0.12000000000000001	0.1057	-0.015	0.1601
0.14	0.0584	0.49	0.11
0.16000000000000003	0.0201	0.891	0.0451
0.18000000000000002	0.0092	0.974	0.0199
0.2	0.0058	0.995	0.0088
0.22000000000000003	0.005	0.996	0.0083
0.24000000000000002	0.004	0.997	0.0067
0.26	0.0034	0.998	0.0055
0.28	0.0028	0.999	0.0046
0.30000000000000004	0.0025	0.999	0.0038
0.32000000000000006	0.0021	0.999	0.0033
0.3400000000000001	0.0019	0.999	0.0029
0.3600000000000001	0.0018	1.0	0.0028
0.38	0.002	0.999	0.003
0.4	0.0022	0.999	0.0032
0.42000000000000004	0.0025	0.999	0.0036
0.44000000000000006	0.0028	0.999	0.0041
0.4600000000000001	0.003	0.999	0.0044
0.4800000000000001	0.0034	0.998	0.0049
0.5000000000000001	0.0038	0.998	0.0057
0.5200000000000001	0.0047	0.997	0.007
0.54	0.0057	0.995	0.0087
