Upper Bounds	MAE	R_square	length_scale
0.11	0.2206	-1.622	0.11
0.13	0.2187	-1.56	0.13
0.15000000000000002	0.2175	-1.521	0.15
0.17	0.2167	-1.495	0.17
0.19	0.2161	-1.477	0.19
0.21000000000000002	0.2156	-1.463	0.21
0.23000000000000004	0.2153	-1.452	0.23
0.25	0.2149	-1.438	0.25
0.27	0.2142	-1.414	0.27
0.29000000000000004	0.2132	-1.375	0.29
0.31000000000000005	0.2117	-1.313	0.31
0.33	0.2096	-1.222	0.33
0.35000000000000003	0.2066	-1.098	0.35
0.37000000000000005	0.2026	-0.948	0.37
0.39	0.1976	-0.781	0.39
0.41000000000000003	0.192	-0.609	0.41
0.43000000000000005	0.186	-0.441	0.43
0.45000000000000007	0.1799	-0.286	0.45
0.4700000000000001	0.1738	-0.146	0.47
0.49000000000000005	0.1679	-0.025	0.49
0.5100000000000001	0.1622	0.079	0.51
0.5300000000000001	0.1569	0.168	0.53
0.55	0.152	0.242	0.55
0.5700000000000001	0.1475	0.304	0.57
0.5900000000000001	0.1434	0.357	0.59
