Upper Bounds	MAE	R_square	length_scale
0.11	0.0682	-16.901	0.11
0.13	0.0642	-8.685	0.13
0.15000000000000002	0.061	-5.613	0.15
0.17	0.0584	-4.143	0.17
0.19	0.0577	-3.325	0.19
0.21000000000000002	0.057	-2.818	0.21
0.23000000000000004	0.0563	-2.479	0.23
0.25	0.0556	-2.238	0.25
0.27	0.0549	-2.061	0.27
0.29000000000000004	0.0542	-1.927	0.29
0.31000000000000005	0.0545	-1.825	0.31
0.33	0.055	-1.745	0.33
0.35000000000000003	0.0552	-1.71	0.331
0.37000000000000005	0.0553	-1.673	0.331
0.39	0.0553	-1.662	0.331
0.41000000000000003	0.0553	-1.66	0.331
0.43000000000000005	0.0552	-1.659	0.331
0.45000000000000007	0.0552	-1.659	0.331
0.4700000000000001	0.0553	-1.66	0.331
0.49000000000000005	0.0553	-1.661	0.331
0.5100000000000001	0.0553	-1.661	0.331
0.5300000000000001	0.0553	-1.661	0.331
0.55	0.0553	-1.661	0.331
0.5700000000000001	0.0553	-1.661	0.331
0.5900000000000001	0.0553	-1.661	0.331
