Length Scale	MAE	R_square	RMSE
0.1	0.133	-1.017	0.1934
0.12000000000000001	0.1234	-0.771	0.1879
0.14	0.1104	-0.422	0.1761
0.16000000000000003	0.0848	0.039	0.1498
0.18000000000000002	0.0501	0.459	0.1097
0.2	0.0249	0.73	0.0717
0.22000000000000003	0.0099	0.967	0.024
0.24000000000000002	0.0063	0.993	0.0109
0.26	0.0055	0.995	0.0094
0.28	0.0048	0.996	0.0082
0.30000000000000004	0.0042	0.997	0.0072
0.32000000000000006	0.0039	0.997	0.0066
0.3400000000000001	0.004	0.998	0.0065
0.3600000000000001	0.0043	0.997	0.0069
0.38	0.0047	0.997	0.0076
0.4	0.0052	0.996	0.0085
0.42000000000000004	0.0058	0.995	0.0095
0.44000000000000006	0.0064	0.994	0.0105
0.4600000000000001	0.0069	0.992	0.0115
0.4800000000000001	0.0076	0.991	0.0127
0.5000000000000001	0.0085	0.988	0.0143
0.5200000000000001	0.0096	0.983	0.0167
0.54	0.011	0.977	0.0196
