Upper Bounds	MAE	R_square	length_scale
0.11	0.1181	-0.743	0.11
0.13	0.1044	-0.219	0.13
0.15000000000000002	0.0881	0.247	0.15
0.17	0.0712	0.568	0.17
0.19	0.0562	0.755	0.19
0.21000000000000002	0.0443	0.859	0.21
0.23000000000000004	0.0349	0.915	0.23
0.25	0.0279	0.948	0.25
0.27	0.0227	0.967	0.27
0.29000000000000004	0.0184	0.979	0.29
0.31000000000000005	0.0149	0.986	0.31
0.33	0.012	0.991	0.33
0.35000000000000003	0.0098	0.993	0.35
0.37000000000000005	0.0084	0.995	0.37
0.39	0.0075	0.996	0.39
0.41000000000000003	0.0071	0.997	0.41
0.43000000000000005	0.0073	0.997	0.43
0.45000000000000007	0.0078	0.996	0.445
0.4700000000000001	0.0078	0.996	0.445
0.49000000000000005	0.0078	0.996	0.445
0.5100000000000001	0.0078	0.996	0.445
0.5300000000000001	0.0078	0.996	0.445
0.55	0.0078	0.996	0.445
0.5700000000000001	0.0078	0.996	0.445
0.5900000000000001	0.0078	0.996	0.445
