Upper Bounds	MAE	R_square	length_scale
0.11	0.2545	-6.017	0.11
0.13	0.2461	-5.822	0.13
0.15000000000000002	0.2394	-5.615	0.15
0.17	0.2342	-5.412	0.17
0.19	0.23	-5.226	0.19
0.21000000000000002	0.2267	-5.062	0.21
0.23000000000000004	0.224	-4.918	0.23
0.25	0.2217	-4.785	0.25
0.27	0.2196	-4.638	0.27
0.29000000000000004	0.2184	-4.503	0.29
0.31000000000000005	0.2168	-4.248	0.31
0.33	0.214	-3.859	0.33
0.35000000000000003	0.2097	-3.347	0.35
0.37000000000000005	0.2039	-2.753	0.37
0.39	0.1966	-2.139	0.39
0.41000000000000003	0.1881	-1.559	0.41
0.43000000000000005	0.1787	-1.05	0.43
0.45000000000000007	0.1688	-0.625	0.45
0.4700000000000001	0.1587	-0.283	0.47
0.49000000000000005	0.1486	-0.013	0.49
0.5100000000000001	0.1387	0.196	0.51
0.5300000000000001	0.1298	0.348	0.53
0.55	0.1216	0.461	0.55
0.5700000000000001	0.1141	0.547	0.57
0.5900000000000001	0.1071	0.614	0.59
