Length Scale	MAE	R_square	RMSE
0.1	0.1275	-1.159	0.1913
0.12000000000000001	0.1222	-1.101	0.1883
0.14	0.116	-1.049	0.185
0.16000000000000003	0.1132	-0.874	0.1809
0.18000000000000002	0.1095	-0.622	0.1751
0.2	0.1048	-0.338	0.1677
0.22000000000000003	0.1028	-0.063	0.159
0.24000000000000002	0.1014	0.166	0.1499
0.26	0.0984	0.334	0.1404
0.28	0.0947	0.439	0.1295
0.30000000000000004	0.0937	0.496	0.1229
0.32000000000000006	0.0935	0.543	0.1188
0.3400000000000001	0.0934	0.577	0.1164
0.3600000000000001	0.0929	0.599	0.1153
0.38	0.094	0.61	0.1151
0.4	0.0951	0.613	0.1155
0.42000000000000004	0.0964	0.61	0.1164
0.44000000000000006	0.0977	0.603	0.1177
0.4600000000000001	0.0988	0.591	0.1192
0.4800000000000001	0.0999	0.577	0.121
0.5000000000000001	0.1011	0.56	0.1228
0.5200000000000001	0.1022	0.542	0.1247
0.54	0.1033	0.523	0.1265
