Length Scale	MAE	R_square	RMSE
0.1	0.1395	-0.885	0.1955
0.12000000000000001	0.121	-0.43	0.1798
0.14	0.0823	0.175	0.1404
0.16000000000000003	0.0401	0.619	0.0895
0.18000000000000002	0.0201	0.825	0.0561
0.2	0.0086	0.969	0.022
0.22000000000000003	0.0047	0.996	0.0077
0.24000000000000002	0.0044	0.996	0.0075
0.26	0.0037	0.998	0.006
0.28	0.0031	0.998	0.0049
0.30000000000000004	0.0026	0.999	0.0041
0.32000000000000006	0.0023	0.999	0.0036
0.3400000000000001	0.0022	0.999	0.0033
0.3600000000000001	0.0022	0.999	0.0034
0.38	0.0023	0.999	0.0037
0.4	0.0026	0.999	0.004
0.42000000000000004	0.0029	0.999	0.0045
0.44000000000000006	0.0032	0.998	0.0049
0.4600000000000001	0.0036	0.998	0.0054
0.4800000000000001	0.0039	0.998	0.0058
0.5000000000000001	0.0046	0.997	0.007
0.5200000000000001	0.0055	0.995	0.0083
0.54	0.007	0.993	0.0103
