Upper Bounds	MAE	R_square	length_scale
0.11	0.1263	-0.622	0.11
0.13	0.1143	-0.319	0.13
0.15000000000000002	0.1029	-0.01	0.15
0.17	0.0938	0.25	0.17
0.19	0.0855	0.447	0.19
0.21000000000000002	0.0777	0.588	0.21
0.23000000000000004	0.0726	0.682	0.23
0.25	0.0714	0.74	0.25
0.27	0.0736	0.751	0.27
0.29000000000000004	0.0731	0.761	0.29
0.31000000000000005	0.0702	0.787	0.31
0.33	0.0661	0.825	0.33
0.35000000000000003	0.063	0.851	0.335
0.37000000000000005	0.063	0.851	0.335
0.39	0.063	0.851	0.335
0.41000000000000003	0.063	0.851	0.335
0.43000000000000005	0.063	0.851	0.335
0.45000000000000007	0.063	0.851	0.335
0.4700000000000001	0.063	0.851	0.335
0.49000000000000005	0.063	0.851	0.335
0.5100000000000001	0.063	0.851	0.335
0.5300000000000001	0.063	0.851	0.335
0.55	0.063	0.851	0.335
0.5700000000000001	0.063	0.851	0.335
0.5900000000000001	0.063	0.851	0.335
