Upper Bounds	MAE	R_square	length_scale
0.11	0.1235	-0.474	0.11
0.13	0.1131	-0.16	0.13
0.15000000000000002	0.1041	0.066	0.15
0.17	0.0948	0.26	0.17
0.19	0.0852	0.43	0.19
0.21000000000000002	0.0754	0.572	0.21
0.23000000000000004	0.066	0.686	0.23
0.25	0.0571	0.772	0.25
0.27	0.0491	0.835	0.27
0.29000000000000004	0.0419	0.881	0.29
0.31000000000000005	0.0356	0.914	0.31
0.33	0.0304	0.937	0.33
0.35000000000000003	0.0262	0.953	0.35
0.37000000000000005	0.0233	0.964	0.37
0.39	0.0219	0.971	0.39
0.41000000000000003	0.0214	0.975	0.41
0.43000000000000005	0.0219	0.975	0.417
0.45000000000000007	0.0219	0.975	0.417
0.4700000000000001	0.0219	0.975	0.417
0.49000000000000005	0.0219	0.975	0.417
0.5100000000000001	0.0219	0.975	0.417
0.5300000000000001	0.0219	0.975	0.417
0.55	0.0219	0.975	0.417
0.5700000000000001	0.0219	0.975	0.417
0.5900000000000001	0.0219	0.975	0.417
