Length Scale	MAE	R_square	RMSE
0.1	0.1261	-0.442	0.1797
0.12000000000000001	0.1135	-0.116	0.1677
0.14	0.1012	0.177	0.1538
0.16000000000000003	0.0877	0.415	0.1382
0.18000000000000002	0.0771	0.588	0.1229
0.2	0.0703	0.703	0.1096
0.22000000000000003	0.0663	0.777	0.0992
0.24000000000000002	0.063	0.826	0.0906
0.26	0.0594	0.859	0.0835
0.28	0.0558	0.882	0.0772
0.30000000000000004	0.0517	0.899	0.0717
0.32000000000000006	0.0492	0.909	0.0686
0.3400000000000001	0.0484	0.912	0.0677
0.3600000000000001	0.0497	0.908	0.0692
0.38	0.0528	0.898	0.0728
0.4	0.0572	0.884	0.0775
0.42000000000000004	0.0614	0.869	0.0821
0.44000000000000006	0.0648	0.856	0.0859
0.4600000000000001	0.0675	0.844	0.089
0.4800000000000001	0.07	0.834	0.0916
0.5000000000000001	0.0721	0.825	0.0938
0.5200000000000001	0.0738	0.816	0.0956
0.54	0.0754	0.808	0.0973
