Length Scale	MAE	R_square	RMSE
0.1	0.1593	-1.174	0.251
0.12000000000000001	0.1469	-0.676	0.237
0.14	0.136	-0.271	0.2233
0.16000000000000003	0.1269	0.027	0.2106
0.18000000000000002	0.1174	0.236	0.1988
0.2	0.1072	0.389	0.1873
0.22000000000000003	0.0969	0.505	0.1762
0.24000000000000002	0.0875	0.595	0.1655
0.26	0.0794	0.663	0.1551
0.28	0.0734	0.72	0.1449
0.30000000000000004	0.0687	0.767	0.1351
0.32000000000000006	0.0644	0.806	0.1257
0.3400000000000001	0.0602	0.838	0.1168
0.3600000000000001	0.0562	0.865	0.1084
0.38	0.0525	0.887	0.1004
0.4	0.049	0.906	0.0928
0.42000000000000004	0.0457	0.922	0.0854
0.44000000000000006	0.0424	0.936	0.0782
0.4600000000000001	0.0392	0.949	0.071
0.4800000000000001	0.036	0.959	0.064
0.5000000000000001	0.0333	0.968	0.0574
0.5200000000000001	0.0317	0.974	0.0515
0.54	0.0305	0.979	0.0469
