	Samples	Length Scale	MAE	R_square	RMSE
0	24	0.32	0.0957	-0.643	0.1158
1	32	0.34	0.1077	-0.321	0.1294
2	40	0.28	0.1234	-1.205	0.1437
3	48	0.38	0.0631	0.553	0.0812
4	56	0.36	0.0564	0.653	0.072
5	64	0.38	0.0438	0.806	0.0585
6	72	0.4	0.0348	0.887	0.0473
7	80	0.42	0.0333	0.911	0.0438
8	88	0.4	0.0346	0.887	0.0458
9	96	0.42	0.0299	0.924	0.0395
10	104	0.42	0.0288	0.93	0.0381
11	112	0.42	0.0293	0.926	0.0386
12	120	0.44	0.0298	0.931	0.0391
13	128	0.44	0.0293	0.932	0.0385
14	136	0.46	0.0327	0.921	0.0432
15	144	0.42	0.0283	0.93	0.0372
16	152	0.44	0.0278	0.936	0.0365
17	160	0.4	0.0344	0.884	0.0451
