	Ag	Ir	Pd	Pt	Ru	Activity
89	0.0	0.0	0.2	0.55	0.25	0.03835547828874526
90	0.0	0.0	0.2	0.6	0.2	0.03365845249779814
91	0.0	0.0	0.2	0.65	0.15	0.02910364411748828
92	0.0	0.0	0.2	0.7	0.1	0.025408434299541344
93	0.0	0.0	0.2	0.75	0.05	0.023275651509172032
94	0.0	0.0	0.2	0.8	0.0	0.02326647351060021
95	0.0	0.0	0.25	0.0	0.75	0.04464478425482493
96	0.0	0.0	0.25	0.05	0.7	0.044931008395909605
97	0.0	0.0	0.25	0.1	0.65	0.045627499394425106
98	0.0	0.0	0.25	0.15	0.6	0.0464479485894527
99	0.0	0.0	0.25	0.2	0.55	0.04714883555563652
100	0.0	0.0	0.25	0.25	0.5	0.04752098464498389
101	0.0	0.0	0.25	0.3	0.45	0.04737199774502729
102	0.0	0.0	0.25	0.35	0.4	0.04652053595808568
103	0.0	0.0	0.25	0.4	0.35	0.04481762666651966
104	0.0	0.0	0.25	0.45	0.3	0.04219590682211462
105	0.0	0.0	0.25	0.5	0.25	0.03873140234020382
106	0.0	0.0	0.25	0.55	0.2	0.03469168893253681
107	0.0	0.0	0.25	0.6	0.15	0.030544334746133772
108	0.0	0.0	0.25	0.65	0.1	0.02691091326552196
109	0.0	0.0	0.25	0.7	0.05	0.02447023241606555
110	0.0	0.0	0.25	0.75	0.0	0.02383252409766433
111	0.0	0.0	0.3	0.0	0.7	0.051292434197647216
112	0.0	0.0	0.3	0.05	0.65	0.05032503747824673
113	0.0	0.0	0.3	0.1	0.6	0.049572293122002134
114	0.0	0.0	0.3	0.15	0.55	0.04892807454717617
115	0.0	0.0	0.3	0.2	0.5	0.048299293565162514
116	0.0	0.0	0.3	0.25	0.45	0.047573566821061314
117	0.0	0.0	0.3	0.3	0.4	0.04659881233202884
118	0.0	0.0	0.3	0.35	0.35	0.045193815672934165
119	0.0	0.0	0.3	0.4	0.3	0.043195568323064204
120	0.0	0.0	0.3	0.45	0.25	0.040531662507884675
121	0.0	0.0	0.3	0.5	0.2	0.03729191894942041
122	0.0	0.0	0.3	0.55	0.15	0.033769173746217976
123	0.0	0.0	0.3	0.6	0.1	0.030447042281506548
124	0.0	0.0	0.3	0.65	0.05	0.027929656661277502
125	0.0	0.0	0.3	0.7	0.0	0.026828185246578123
126	0.0	0.0	0.35	0.0	0.65	0.05691920514511534
127	0.0	0.0	0.35	0.05	0.6	0.054850860259059116
128	0.0	0.0	0.35	0.1	0.55	0.05297967342055
129	0.0	0.0	0.35	0.15	0.5	0.05133015139902928
130	0.0	0.0	0.35	0.2	0.45	0.04989245355690398
131	0.0	0.0	0.35	0.25	0.4	0.04858529201571722
132	0.0	0.0	0.35	0.3	0.35	0.047249194494684815
133	0.0	0.0	0.35	0.35	0.3	0.04568158091903088
134	0.0	0.0	0.35	0.4	0.25	0.04370784337862116
135	0.0	0.0	0.35	0.45	0.2	0.041266055673323185
136	0.0	0.0	0.35	0.5	0.15	0.03847424716592675
137	0.0	0.0	0.35	0.55	0.1	0.03565236101769956
138	0.0	0.0	0.35	0.6	0.05	0.03328515195481961
139	0.0	0.0	0.35	0.65	0.0	0.03193197153452146
140	0.0	0.0	0.4	0.0	0.6	0.06225859524507046
141	0.0	0.0	0.4	0.05	0.55	0.05944663378862275
142	0.0	0.0	0.4	0.1	0.5	0.0568970082195685
143	0.0	0.0	0.4	0.15	0.45	0.0547006615582857
144	0.0	0.0	0.4	0.2	0.4	0.052871637736590024
145	0.0	0.0	0.4	0.25	0.35	0.05132065967734251
146	0.0	0.0	0.4	0.3	0.3	0.04986956315335121
147	0.0	0.0	0.4	0.35	0.25	0.04830809353161092
148	0.0	0.0	0.4	0.4	0.2	0.046477295435450816
149	0.0	0.0	0.4	0.45	0.15	0.044351376731221706
150	0.0	0.0	0.4	0.5	0.1	0.0420878361202936
151	0.0	0.0	0.4	0.55	0.05	0.04002497745726823
152	0.0	0.0	0.4	0.6	0.0	0.03862322198017862
153	0.0	0.0	0.45	0.0	0.55	0.0682978089812041
154	0.0	0.0	0.45	0.05	0.5	0.06513937069204365
155	0.0	0.0	0.45	0.1	0.45	0.062283775689750485
156	0.0	0.0	0.45	0.15	0.4	0.059837190493384505
157	0.0	0.0	0.45	0.2	0.35	0.05780868372866643
158	0.0	0.0	0.45	0.25	0.3	0.056100839065698224
159	0.0	0.0	0.45	0.3	0.25	0.054541861786107024
160	0.0	0.0	0.45	0.35	0.2	0.05295217441460163
161	0.0	0.0	0.45	0.4	0.15	0.05122436923279188
162	0.0	0.0	0.45	0.45	0.1	0.04938856824385944
