	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	-0.016276702280121208
1	0.0	0.0	0.0	0.05	0.95	-0.012803880603646234
2	0.0	0.0	0.0	0.1	0.9	-0.011043337583433246
3	0.0	0.0	0.0	0.15	0.85	-0.011082823942592232
4	0.0	0.0	0.0	0.2	0.8	-0.012852255441045651
5	0.0	0.0	0.0	0.25	0.75	-0.016120334543390458
6	0.0	0.0	0.0	0.3	0.7	-0.02051464358233293
7	0.0	0.0	0.0	0.35	0.65	-0.02556480198291894
8	0.0	0.0	0.0	0.4	0.6	-0.03076355426858242
9	0.0	0.0	0.0	0.45	0.55	-0.035636356317383315
10	0.0	0.0	0.0	0.5	0.5	-0.0398073457549491
11	0.0	0.0	0.0	0.55	0.45	-0.043049434438779705
12	0.0	0.0	0.0	0.6	0.4	-0.0453089525197565
13	0.0	0.0	0.0	0.65	0.35	-0.04670032823964962
14	0.0	0.0	0.0	0.7	0.3	-0.04747252303170407
15	0.0	0.0	0.0	0.75	0.25	-0.047954789746837125
16	0.0	0.0	0.0	0.8	0.2	-0.048493295837047444
17	0.0	0.0	0.0	0.85	0.15	-0.04939129853591259
18	0.0	0.0	0.0	0.9	0.1	-0.05086373142299061
19	0.0	0.0	0.0	0.95	0.05	-0.05301293708544226
20	0.0	0.0	0.0	1.0	0.0	-0.05582710192637028
21	0.0	0.0	0.05	0.0	0.95	-0.025237314134132313
22	0.0	0.0	0.05	0.05	0.9	-0.022229707034426033
23	0.0	0.0	0.05	0.1	0.85	-0.02065310186299532
24	0.0	0.0	0.05	0.15	0.8	-0.020555803611885054
25	0.0	0.0	0.05	0.2	0.75	-0.02184220297167999
26	0.0	0.0	0.05	0.25	0.7	-0.024271669241759858
27	0.0	0.0	0.05	0.3	0.65	-0.027480748679266156
28	0.0	0.0	0.05	0.35	0.6	-0.031028097448456485
29	0.0	0.0	0.05	0.4	0.55	-0.03445650196723325
30	0.0	0.0	0.05	0.45	0.5	-0.03736181901031168
31	0.0	0.0	0.05	0.5	0.45	-0.03945603822020293
32	0.0	0.0	0.05	0.55	0.4	-0.040611889293340565
33	0.0	0.0	0.05	0.6	0.35	-0.04087970460250002
34	0.0	0.0	0.05	0.65	0.3	-0.040472940731379116
35	0.0	0.0	0.05	0.7	0.25	-0.039725457989530165
36	0.0	0.0	0.05	0.75	0.2	-0.039029623685454984
37	0.0	0.0	0.05	0.8	0.15	-0.03876800980347494
38	0.0	0.0	0.05	0.85	0.1	-0.03925203044334417
39	0.0	0.0	0.05	0.9	0.05	-0.040678344853349195
40	0.0	0.0	0.05	0.95	0.0	-0.0431091161688598
41	0.0	0.0	0.1	0.0	0.9	-0.035083990596982514
42	0.0	0.0	0.1	0.05	0.85	-0.032131645754447304
43	0.0	0.0	0.1	0.1	0.8	-0.030318650858974665
44	0.0	0.0	0.1	0.15	0.75	-0.029686700615719153
45	0.0	0.0	0.1	0.2	0.7	-0.030144767943509544
46	0.0	0.0	0.1	0.25	0.65	-0.03146739348928917
47	0.0	0.0	0.1	0.3	0.6	-0.03331721827288376
48	0.0	0.0	0.1	0.35	0.55	-0.03529107673786407
49	0.0	0.0	0.1	0.4	0.5	-0.03698327951230304
50	0.0	0.0	0.1	0.45	0.45	-0.03805482982195391
51	0.0	0.0	0.1	0.5	0.4	-0.03829473829886756
52	0.0	0.0	0.1	0.55	0.35	-0.037660299486048196
53	0.0	0.0	0.1	0.6	0.3	-0.03628723661082329
54	0.0	0.0	0.1	0.65	0.25	-0.03446708399846166
55	0.0	0.0	0.1	0.7	0.2	-0.032596389921190565
56	0.0	0.0	0.1	0.75	0.15	-0.03110838167499381
57	0.0	0.0	0.1	0.8	0.1	-0.030401087190195374
58	0.0	0.0	0.1	0.85	0.05	-0.03077581686798222
59	0.0	0.0	0.1	0.9	0.0	-0.032396633536906076
60	0.0	0.0	0.15	0.0	0.85	-0.044683316412262274
61	0.0	0.0	0.15	0.05	0.8	-0.041399681364525015
62	0.0	0.0	0.15	0.1	0.75	-0.03901264099757424
63	0.0	0.0	0.15	0.15	0.7	-0.037584788869885394
64	0.0	0.0	0.15	0.2	0.65	-0.037049249519294815
65	0.0	0.0	0.15	0.25	0.6	-0.0372061460854988
66	0.0	0.0	0.15	0.3	0.55	-0.037745747428485354
67	0.0	0.0	0.15	0.35	0.5	-0.0382971182655308
68	0.0	0.0	0.15	0.4	0.45	-0.03849459584173808
69	0.0	0.0	0.15	0.45	0.4	-0.03804917153176523
70	0.0	0.0	0.15	0.5	0.35	-0.036809510198466316
71	0.0	0.0	0.15	0.55	0.3	-0.0347987914159918
72	0.0	0.0	0.15	0.6	0.25	-0.032218610042955696
73	0.0	0.0	0.15	0.65	0.2	-0.02941855543779988
74	0.0	0.0	0.15	0.7	0.15	-0.026837825808271543
75	0.0	0.0	0.15	0.75	0.1	-0.02493126969586494
76	0.0	0.0	0.15	0.8	0.05	-0.024095071448526434
77	0.0	0.0	0.15	0.85	0.0	-0.024606379864163988
78	0.0	0.0	0.2	0.0	0.8	-0.05304817712236391
79	0.0	0.0	0.2	0.05	0.75	-0.04916330301320179
80	0.0	0.0	0.2	0.1	0.7	-0.046029031840812425
81	0.0	0.0	0.2	0.15	0.65	-0.04374269792361833
82	0.0	0.0	0.2	0.2	0.6	-0.042264541844196715
83	0.0	0.0	0.2	0.25	0.55	-0.041413597530436407
84	0.0	0.0	0.2	0.3	0.5	-0.04089402726429288
85	0.0	0.0	0.2	0.35	0.45	-0.04034940904957535
86	0.0	0.0	0.2	0.4	0.4	-0.03943515906413214
87	0.0	0.0	0.2	0.45	0.35	-0.0378939098381235
88	0.0	0.0	0.2	0.5	0.3	-0.035616946767747765
89	0.0	0.0	0.2	0.55	0.25	-0.032677409501922605
90	0.0	0.0	0.2	0.6	0.2	-0.029327300851935856
91	0.0	0.0	0.2	0.65	0.15	-0.0259587173497689
92	0.0	0.0	0.2	0.7	0.1	-0.023037849421204987
93	0.0	0.0	0.2	0.75	0.05	-0.021026057604026982
94	0.0	0.0	0.2	0.8	0.0	-0.020304351990138844
95	0.0	0.0	0.25	0.0	0.75	-0.05955031749007008
96	0.0	0.0	0.25	0.05	0.7	-0.05498317608844369
97	0.0	0.0	0.25	0.1	0.65	-0.05114024234756135
98	0.0	0.0	0.25	0.15	0.6	-0.048148475976125565
99	0.0	0.0	0.25	0.2	0.55	-0.045979897656506674
100	0.0	0.0	0.25	0.25	0.5	-0.0444507129963199
101	0.0	0.0	0.25	0.3	0.45	-0.04325516944222926
102	0.0	0.0	0.25	0.35	0.4	-0.042029216356319836
103	0.0	0.0	0.25	0.4	0.35	-0.040431178608966716
104	0.0	0.0	0.25	0.45	0.3	-0.03822168333444344
105	0.0	0.0	0.25	0.5	0.25	-0.03532454568131784
106	0.0	0.0	0.25	0.55	0.2	-0.03185449993579966
107	0.0	0.0	0.25	0.6	0.15	-0.028105450784561573
108	0.0	0.0	0.25	0.65	0.1	-0.02450217071047671
109	0.0	0.0	0.25	0.7	0.05	-0.021526580778404622
110	0.0	0.0	0.25	0.75	0.0	-0.019634834404341703
111	0.0	0.0	0.3	0.0	0.7	-0.06407405508824705
112	0.0	0.0	0.3	0.05	0.65	-0.05896243092595317
113	0.0	0.0	0.3	0.1	0.6	-0.05465727025728271
114	0.0	0.0	0.3	0.15	0.55	-0.051290879369512245
115	0.0	0.0	0.3	0.2	0.5	-0.048817247810391685
116	0.0	0.0	0.3	0.25	0.45	-0.04702005376057249
117	0.0	0.0	0.3	0.3	0.4	-0.04555885338208615
118	0.0	0.0	0.3	0.35	0.35	-0.0440449897926823
119	0.0	0.0	0.3	0.4	0.3	-0.042130966952314025
120	0.0	0.0	0.3	0.45	0.25	-0.03959316896334237
121	0.0	0.0	0.3	0.5	0.2	-0.03638905008964605
122	0.0	0.0	0.3	0.55	0.15	-0.03267597775876685
123	0.0	0.0	0.3	0.6	0.1	-0.028788091377029035
124	0.0	0.0	0.3	0.65	0.05	-0.025177307720491177
125	0.0	0.0	0.3	0.7	0.0	-0.022332373641644962
126	0.0	0.0	0.35	0.0	0.65	-0.06706747706217661
127	0.0	0.0	0.35	0.05	0.6	-0.06174228632872097
128	0.0	0.0	0.35	0.1	0.55	-0.05736904450235702
129	0.0	0.0	0.35	0.15	0.5	-0.054047662345834926
130	0.0	0.0	0.35	0.2	0.45	-0.05167880361812993
131	0.0	0.0	0.35	0.25	0.4	-0.04998670285900575
132	0.0	0.0	0.35	0.3	0.35	-0.04858121607830601
133	0.0	0.0	0.35	0.35	0.3	-0.04704640728481646
134	0.0	0.0	0.35	0.4	0.25	-0.0450361150653119
135	0.0	0.0	0.35	0.45	0.2	-0.04235495729590379
136	0.0	0.0	0.35	0.5	0.15	-0.03900670997897695
137	0.0	0.0	0.35	0.55	0.1	-0.03519995171184029
138	0.0	0.0	0.35	0.6	0.05	-0.03131105948950271
139	0.0	0.0	0.35	0.65	0.0	-0.02781430146069426
140	0.0	0.0	0.4	0.0	0.6	-0.06946750413681678
141	0.0	0.0	0.4	0.05	0.55	-0.06437165675861432
142	0.0	0.0	0.4	0.1	0.5	-0.060365202015950144
143	0.0	0.0	0.4	0.15	0.45	-0.05747522382925253
144	0.0	0.0	0.4	0.2	0.4	-0.05552047133426405
145	0.0	0.0	0.4	0.25	0.35	-0.054153218724766944
146	0.0	0.0	0.4	0.3	0.3	-0.05293767411736603
147	0.0	0.0	0.4	0.35	0.25	-0.05144807112028102
148	0.0	0.0	0.4	0.4	0.2	-0.049364596501816314
149	0.0	0.0	0.4	0.45	0.15	-0.04654582345187375
150	0.0	0.0	0.4	0.5	0.1	-0.043062163367620754
151	0.0	0.0	0.4	0.55	0.05	-0.039184340161593695
152	0.0	0.0	0.4	0.6	0.0	-0.03533139038728477
153	0.0	0.0	0.45	0.0	0.55	-0.07250410859926741
154	0.0	0.0	0.45	0.05	0.5	-0.06807097108349595
155	0.0	0.0	0.45	0.1	0.45	-0.06477619357959191
156	0.0	0.0	0.45	0.15	0.4	-0.06254429529556756
157	0.0	0.0	0.45	0.2	0.35	-0.06110242159215712
158	0.0	0.0	0.45	0.25	0.3	-0.06004188503103253
159	0.0	0.0	0.45	0.3	0.25	-0.05890921178721222
160	0.0	0.0	0.45	0.35	0.2	-0.057306692631527406
161	0.0	0.0	0.45	0.4	0.15	-0.05498013126391771
162	0.0	0.0	0.45	0.45	0.1	-0.05187476408672033
163	0.0	0.0	0.45	0.5	0.05	-0.04814821682598002
164	0.0	0.0	0.45	0.55	0.0	-0.04413962535706937
165	0.0	0.0	0.5	0.0	0.5	-0.07741974503947849
166	0.0	0.0	0.5	0.05	0.45	-0.07393874143821466
167	0.0	0.0	0.5	0.1	0.4	-0.07148799387506631
168	0.0	0.0	0.5	0.15	0.35	-0.06988285254915129
169	0.0	0.0	0.5	0.2	0.3	-0.06877668632712709
170	0.0	0.0	0.5	0.25	0.25	-0.06773795998394627
171	0.0	0.0	0.5	0.3	0.2	-0.06634581938669562
172	0.0	0.0	0.5	0.35	0.15	-0.06428302227131241
173	0.0	0.0	0.5	0.4	0.1	-0.06140582381036386
174	0.0	0.0	0.5	0.45	0.05	-0.05777622558722496
175	0.0	0.0	0.5	0.5	0.0	-0.053651144593034085
176	0.0	0.0	0.55	0.0	0.45	-0.08516431848742988
177	0.0	0.0	0.55	0.05	0.4	-0.08266735099337214
178	0.0	0.0	0.55	0.1	0.35	-0.08089866320472519
179	0.0	0.0	0.55	0.15	0.3	-0.07958878258770555
180	0.0	0.0	0.55	0.2	0.25	-0.07836476432578209
181	0.0	0.0	0.55	0.25	0.2	-0.07683383824256122
182	0.0	0.0	0.55	0.3	0.15	-0.07467211981912915
183	0.0	0.0	0.55	0.35	0.1	-0.07169866793293099
184	0.0	0.0	0.55	0.4	0.05	-0.06791886324549523
185	0.0	0.0	0.55	0.45	0.0	-0.06352860936493047
186	0.0	0.0	0.6	0.0	0.4	-0.09613644026847444
187	0.0	0.0	0.6	0.05	0.35	-0.0943362686364271
188	0.0	0.0	0.6	0.1	0.3	-0.09277689325262022
189	0.0	0.0	0.6	0.15	0.25	-0.0911597934482236
190	0.0	0.0	0.6	0.2	0.2	-0.08915711161522835
191	0.0	0.0	0.6	0.25	0.15	-0.0864893627222994
192	0.0	0.0	0.6	0.3	0.1	-0.08299468096524706
193	0.0	0.0	0.6	0.35	0.05	-0.07867404894324673
194	0.0	0.0	0.6	0.4	0.0	-0.07370280319192901
195	0.0	0.0	0.65	0.0	0.35	-0.11003438583350941
196	0.0	0.0	0.65	0.05	0.3	-0.10833493256475
197	0.0	0.0	0.65	0.1	0.25	-0.10625953539613586
198	0.0	0.0	0.65	0.15	0.2	-0.10356010108280074
199	0.0	0.0	0.65	0.2	0.15	-0.1000364802721236
200	0.0	0.0	0.65	0.25	0.1	-0.09559457492630437
201	0.0	0.0	0.65	0.3	0.05	-0.09028507614394589
202	0.0	0.0	0.65	0.35	0.0	-0.08431365570212757
203	0.0	0.0	0.7	0.0	0.3	-0.12585604460548927
204	0.0	0.0	0.7	0.05	0.25	-0.12343741940073412
205	0.0	0.0	0.7	0.1	0.2	-0.11999173137376709
206	0.0	0.0	0.7	0.15	0.15	-0.11540991811101997
207	0.0	0.0	0.7	0.2	0.1	-0.10969644392825814
208	0.0	0.0	0.7	0.25	0.05	-0.10299591232055184
209	0.0	0.0	0.7	0.3	0.0	-0.09559441128104011
210	0.0	0.0	0.75	0.0	0.25	-0.1420521196991389
211	0.0	0.0	0.75	0.05	0.2	-0.13801451505906798
