	Ag	Ir	Pd	Pt	Ru	Activity
89	0.0	0.0	0.2	0.55	0.25	0.040503051059750765
90	0.0	0.0	0.2	0.6	0.2	0.03922114314731602
91	0.0	0.0	0.2	0.65	0.15	0.03490989997828075
92	0.0	0.0	0.2	0.7	0.1	0.0293119523425954
93	0.0	0.0	0.2	0.75	0.05	0.02346407169295447
94	0.0	0.0	0.2	0.8	0.0	0.014862429510993631
95	0.0	0.0	0.25	0.0	0.75	0.05604253202704968
96	0.0	0.0	0.25	0.05	0.7	0.04828825456202351
97	0.0	0.0	0.25	0.1	0.65	0.04488243024772099
98	0.0	0.0	0.25	0.15	0.6	0.040780847552641726
99	0.0	0.0	0.25	0.2	0.55	0.03652407117168278
100	0.0	0.0	0.25	0.25	0.5	0.036768319702446844
101	0.0	0.0	0.25	0.3	0.45	0.0366277722603303
102	0.0	0.0	0.25	0.35	0.4	0.037957130188140654
103	0.0	0.0	0.25	0.4	0.35	0.03985606103276094
104	0.0	0.0	0.25	0.45	0.3	0.04029265187963494
105	0.0	0.0	0.25	0.5	0.25	0.039749149723329075
106	0.0	0.0	0.25	0.55	0.2	0.03827216288348376
107	0.0	0.0	0.25	0.6	0.15	0.034593078623319284
108	0.0	0.0	0.25	0.65	0.1	0.028830166906764345
109	0.0	0.0	0.25	0.7	0.05	0.0228770998614189
110	0.0	0.0	0.25	0.75	0.0	0.015561224139954461
111	0.0	0.0	0.3	0.0	0.7	0.06106240139137779
112	0.0	0.0	0.3	0.05	0.65	0.05541497456962045
113	0.0	0.0	0.3	0.1	0.6	0.0495951529365224
114	0.0	0.0	0.3	0.15	0.55	0.043812282000073664
115	0.0	0.0	0.3	0.2	0.5	0.043035400277720015
116	0.0	0.0	0.3	0.25	0.45	0.04137595141357315
117	0.0	0.0	0.3	0.3	0.4	0.04068058274796538
118	0.0	0.0	0.3	0.35	0.35	0.04018501485118471
119	0.0	0.0	0.3	0.4	0.3	0.041055397376046625
120	0.0	0.0	0.3	0.45	0.25	0.03951568114685966
121	0.0	0.0	0.3	0.5	0.2	0.039484003852885564
122	0.0	0.0	0.3	0.55	0.15	0.03522437660180877
123	0.0	0.0	0.3	0.6	0.1	0.030749553211983506
124	0.0	0.0	0.3	0.65	0.05	0.025214835015081743
125	0.0	0.0	0.3	0.7	0.0	0.019018503088751946
126	0.0	0.0	0.35	0.0	0.65	0.06858164912521511
127	0.0	0.0	0.35	0.05	0.6	0.05956621773680706
128	0.0	0.0	0.35	0.1	0.55	0.05215461133638003
129	0.0	0.0	0.35	0.15	0.5	0.049562238879722845
130	0.0	0.0	0.35	0.2	0.45	0.046818870082056624
131	0.0	0.0	0.35	0.25	0.4	0.045147378889966235
132	0.0	0.0	0.35	0.3	0.35	0.046004450925641614
133	0.0	0.0	0.35	0.35	0.3	0.04474682457512829
134	0.0	0.0	0.35	0.4	0.25	0.043828803751233686
135	0.0	0.0	0.35	0.45	0.2	0.041911328370081324
136	0.0	0.0	0.35	0.5	0.15	0.0396538163020466
137	0.0	0.0	0.35	0.55	0.1	0.03507580570533659
138	0.0	0.0	0.35	0.6	0.05	0.02996093636771725
139	0.0	0.0	0.35	0.65	0.0	0.024046724827080677
140	0.0	0.0	0.4	0.0	0.6	0.07409160997552344
141	0.0	0.0	0.4	0.05	0.55	0.06395185958434453
142	0.0	0.0	0.4	0.1	0.5	0.05857420267086971
143	0.0	0.0	0.4	0.15	0.45	0.056362846685743095
144	0.0	0.0	0.4	0.2	0.4	0.053497007552662235
145	0.0	0.0	0.4	0.25	0.35	0.052797033461458656
146	0.0	0.0	0.4	0.3	0.3	0.05209665964244563
147	0.0	0.0	0.4	0.35	0.25	0.05201874690011803
148	0.0	0.0	0.4	0.4	0.2	0.04988597815584074
149	0.0	0.0	0.4	0.45	0.15	0.04653317165298128
150	0.0	0.0	0.4	0.5	0.1	0.042223939366649976
151	0.0	0.0	0.4	0.55	0.05	0.036972547949919936
152	0.0	0.0	0.4	0.6	0.0	0.031001194055598313
153	0.0	0.0	0.45	0.0	0.55	0.0782180066129237
154	0.0	0.0	0.45	0.05	0.5	0.07019813872472079
155	0.0	0.0	0.45	0.1	0.45	0.06653227493934853
156	0.0	0.0	0.45	0.15	0.4	0.06352360079799686
157	0.0	0.0	0.45	0.2	0.35	0.061138877994307145
158	0.0	0.0	0.45	0.25	0.3	0.06003728286282211
159	0.0	0.0	0.45	0.3	0.25	0.05950162783214741
160	0.0	0.0	0.45	0.35	0.2	0.05677273226492457
161	0.0	0.0	0.45	0.4	0.15	0.05432138305758034
162	0.0	0.0	0.45	0.45	0.1	0.05027286061911796
