  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
  2,0.09000,0.12000,0.57500,0.09500,0.12000,0.05775,0.00191,0.70755
  3,0.01500,0.11500,0.73500,0.06000,0.07500,0.06136,0.00186,0.97847
  4,0.00000,0.43500,0.56500,0.00000,0.00000,0.06749,0.00181,1.08504
  5,0.00000,0.41500,0.58500,0.00000,0.00000,0.06735,0.00182,1.10898
  6,0.00000,0.19000,0.38000,0.00000,0.43000,0.07866,0.00224,0.98810
  7,0.00000,0.32500,0.45000,0.00000,0.22500,0.08649,0.00161,0.50203
  8,0.00000,0.34500,0.46000,0.00000,0.19500,0.10545,0.00178,0.36009
  9,0.00000,0.49500,0.22000,0.00000,0.28500,0.13940,0.00302,0.37311
 10,0.00000,0.52500,0.17500,0.00000,0.30000,0.14567,0.00328,0.40060
 11,0.00000,0.52000,0.10500,0.12000,0.25500,0.15726,0.00360,0.40221
 12,0.04500,0.56000,0.07000,0.11500,0.21000,0.16100,0.00371,0.40952
 13,0.10500,0.53000,0.03500,0.09000,0.24000,0.16563,0.00375,0.40804
 14,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00982,0.00368,0.41190
 14,0.07500,0.55000,0.00000,0.12500,0.25000,0.16590,0.00368,0.41190
 15,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00800,0.00329,0.40030
 15,0.08000,0.53500,0.05000,0.10500,0.23000,0.16327,0.00329,0.40030
 16,1.00000,0.00000,0.00000,0.00000,0.00000,-0.00825,0.00325,0.40604
 16,0.08000,0.54000,0.04500,0.10500,0.23000,0.16305,0.00325,0.40604
 17,0.08000,0.54000,0.04500,0.10500,0.23000,0.16263,0.00329,0.41019
 18,0.08000,0.54500,0.04500,0.10000,0.23000,0.16214,0.00337,0.41753
 19,0.08500,0.56500,0.02000,0.09500,0.23500,0.16303,0.00346,0.42350
 20,0.08500,0.57000,0.01500,0.09500,0.23500,0.16321,0.00346,0.42442
 21,0.08500,0.56500,0.02000,0.09500,0.23500,0.16309,0.00344,0.42414
 22,0.08000,0.55500,0.03500,0.09500,0.23500,0.16239,0.00337,0.42193
 23,0.08000,0.55500,0.04000,0.09000,0.23500,0.16239,0.00330,0.42111
 24,0.08500,0.55500,0.03000,0.09500,0.23500,0.16202,0.00341,0.42684
 25,0.08500,0.55500,0.03000,0.09500,0.23500,0.16201,0.00341,0.42710
 26,0.08500,0.55000,0.03000,0.09500,0.24000,0.16220,0.00338,0.42524
 27,0.08500,0.54500,0.02000,0.09500,0.25500,0.16293,0.00337,0.42217
 28,0.08500,0.54500,0.02000,0.09500,0.25500,0.16288,0.00335,0.42257
 29,0.08500,0.54000,0.02000,0.09500,0.26000,0.16319,0.00337,0.42192
 30,0.08500,0.54500,0.02000,0.09500,0.25500,0.16296,0.00334,0.42195
 31,0.08500,0.54500,0.02500,0.10000,0.24500,0.16255,0.00338,0.42424
 32,0.08500,0.55000,0.03000,0.09000,0.24500,0.16240,0.00332,0.42331
 33,0.08500,0.55000,0.03000,0.09000,0.24500,0.16238,0.00333,0.42394
 34,0.08500,0.55000,0.02500,0.09500,0.24500,0.16229,0.00336,0.42607
 35,0.09000,0.55000,0.01500,0.10500,0.24000,0.16183,0.00362,0.43668
 36,0.09000,0.55000,0.01500,0.10500,0.24000,0.16180,0.00360,0.43642
 37,0.09000,0.55000,0.01500,0.10500,0.24000,0.16184,0.00360,0.43651
 38,0.09000,0.55000,0.01000,0.11000,0.24000,0.16187,0.00361,0.43656
 39,0.09500,0.55000,0.00500,0.11000,0.24000,0.16206,0.00363,0.43628
 40,0.09500,0.55000,0.00500,0.11000,0.24000,0.16213,0.00364,0.43620
 41,0.10000,0.55000,0.00500,0.11000,0.23500,0.16215,0.00365,0.43634
 42,0.10000,0.55000,0.00500,0.11000,0.23500,0.16210,0.00362,0.43543
 43,0.09500,0.55000,0.00500,0.11000,0.24000,0.16208,0.00342,0.43625
 44,0.08500,0.55000,0.01500,0.11000,0.24000,0.16187,0.00340,0.43958
 45,0.08500,0.55500,0.01000,0.11000,0.24000,0.16195,0.00343,0.44240
 46,0.09000,0.55000,0.01500,0.10500,0.24000,0.16182,0.00335,0.43645
 47,0.09000,0.55000,0.01500,0.10500,0.24000,0.16178,0.00334,0.43706
 48,0.09500,0.55000,0.01000,0.10500,0.24000,0.16197,0.00335,0.43528
