	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	0.026629781176218323
1	0.0	0.0	0.0	0.05	0.95	0.019288788688071448
2	0.0	0.0	0.0	0.1	0.9	0.014281667390066158
3	0.0	0.0	0.0	0.15	0.85	0.011947638373512925
4	0.0	0.0	0.0	0.2	0.8	0.012428172267608617
5	0.0	0.0	0.0	0.25	0.75	0.01563414034164355
6	0.0	0.0	0.0	0.3	0.7	0.02123817532934641
7	0.0	0.0	0.0	0.35	0.65	0.02869592267224659
8	0.0	0.0	0.0	0.4	0.6	0.037295733522189276
9	0.0	0.0	0.0	0.45	0.55	0.04623190334689958
10	0.0	0.0	0.0	0.5	0.5	0.05469258716388929
11	0.0	0.0	0.0	0.55	0.45	0.06195078734359616
12	0.0	0.0	0.0	0.6	0.4	0.06744588238128539
13	0.0	0.0	0.0	0.65	0.35	0.07084429083956607
14	0.0	0.0	0.0	0.7	0.3	0.07207090030769872
15	0.0	0.0	0.0	0.75	0.25	0.07130732215101003
16	0.0	0.0	0.0	0.8	0.2	0.06895807334387082
17	0.0	0.0	0.0	0.85	0.15	0.06559053973690854
18	0.0	0.0	0.0	0.9	0.1	0.06185821534317175
19	0.0	0.0	0.0	0.95	0.05	0.058418650337113714
20	0.0	0.0	0.0	1.0	0.0	0.05585753205874562
21	0.0	0.0	0.05	0.0	0.95	0.01832257646298295
22	0.0	0.0	0.05	0.05	0.9	0.012604342018547987
23	0.0	0.0	0.05	0.1	0.85	0.00962603979256832
24	0.0	0.0	0.05	0.15	0.8	0.009608605751293686
25	0.0	0.0	0.05	0.2	0.75	0.01253802596250636
26	0.0	0.0	0.05	0.25	0.7	0.018147033825293604
27	0.0	0.0	0.05	0.3	0.65	0.025926323818127595
28	0.0	0.0	0.05	0.35	0.6	0.03516651934567938
29	0.0	0.0	0.05	0.4	0.55	0.045027493223961046
30	0.0	0.0	0.05	0.45	0.5	0.05462717551406121
31	0.0	0.0	0.05	0.5	0.45	0.06313852529211364
32	0.0	0.0	0.05	0.55	0.4	0.06988158286558764
33	0.0	0.0	0.05	0.6	0.35	0.0743978573615667
34	0.0	0.0	0.05	0.65	0.3	0.07649675266714048
35	0.0	0.0	0.05	0.7	0.25	0.07626789856763438
36	0.0	0.0	0.05	0.75	0.2	0.0740584072007601
37	0.0	0.0	0.05	0.8	0.15	0.0704193041441206
38	0.0	0.0	0.05	0.85	0.1	0.06602977380627023
39	0.0	0.0	0.05	0.9	0.05	0.06161067781058001
40	0.0	0.0	0.05	0.95	0.0	0.05783964251052194
41	0.0	0.0	0.1	0.0	0.9	0.01386322242833414
42	0.0	0.0	0.1	0.05	0.85	0.010317625687075782
43	0.0	0.0	0.1	0.1	0.8	0.009793700752681128
44	0.0	0.0	0.1	0.15	0.75	0.012352016308563266
45	0.0	0.0	0.1	0.2	0.7	0.017792965492636786
46	0.0	0.0	0.1	0.25	0.65	0.025657610311043202
47	0.0	0.0	0.1	0.3	0.6	0.03526049582501628
48	0.0	0.0	0.1	0.35	0.55	0.045752657187895146
49	0.0	0.0	0.1	0.4	0.5	0.05620826351069323
50	0.0	0.0	0.1	0.45	0.45	0.06572429423586577
51	0.0	0.0	0.1	0.5	0.4	0.07352011149524956
52	0.0	0.0	0.1	0.55	0.35	0.07902331473749508
53	0.0	0.0	0.1	0.6	0.3	0.08193000917950755
54	0.0	0.0	0.1	0.65	0.25	0.08223133421919873
55	0.0	0.0	0.1	0.7	0.2	0.08020314916366061
56	0.0	0.0	0.1	0.75	0.15	0.07636127320173977
57	0.0	0.0	0.1	0.8	0.1	0.07138966002242277
