	Ag	Ir	Pd	Pt	Ru	Activity
0	0.0	0.0	0.0	0.0	1.0	8.465553336061072e-14
1	0.0	0.0	0.0	0.05	0.95	7.11396277972668e-05
2	0.0	0.0	0.0	0.1	0.9	0.0006242541104808182
3	0.0	0.0	0.0	0.15	0.85	0.0016578912754715602
4	0.0	0.0	0.0	0.2	0.8	0.0031258021585898366
5	0.0	0.0	0.0	0.25	0.75	0.0058501889921003716
6	0.0	0.0	0.0	0.3	0.7	0.009492965764215806
7	0.0	0.0	0.0	0.35	0.65	0.012884841554864093
8	0.0	0.0	0.0	0.4	0.6	0.016226567600691827
9	0.0	0.0	0.0	0.45	0.55	0.020229713581090047
10	0.0	0.0	0.0	0.5	0.5	0.02299808616179716
11	0.0	0.0	0.0	0.55	0.45	0.026558776538956285
12	0.0	0.0	0.0	0.6	0.4	0.031065290004488925
13	0.0	0.0	0.0	0.65	0.35	0.034574763238894045
14	0.0	0.0	0.0	0.7	0.3	0.038645703147850305
15	0.0	0.0	0.0	0.75	0.25	0.04361629741855093
16	0.0	0.0	0.0	0.8	0.2	0.04577999506392414
17	0.0	0.0	0.0	0.85	0.15	0.047930813969649814
18	0.0	0.0	0.0	0.9	0.1	0.047526751972572355
19	0.0	0.0	0.0	0.95	0.05	0.04443815820365886
20	0.0	0.0	0.0	1.0	0.0	0.03824379969709924
21	0.0	0.0	0.05	0.0	0.95	3.4513853642978183e-05
22	0.0	0.0	0.05	0.05	0.9	0.0006536908946262371
23	0.0	0.0	0.05	0.1	0.85	0.002101742628028207
24	0.0	0.0	0.05	0.15	0.8	0.0043037703614081805
25	0.0	0.0	0.05	0.2	0.75	0.006907752220067047
26	0.0	0.0	0.05	0.25	0.7	0.010850639547639191
27	0.0	0.0	0.05	0.3	0.65	0.015095023733834145
28	0.0	0.0	0.05	0.35	0.6	0.020270549911338264
29	0.0	0.0	0.05	0.4	0.55	0.024563650961661326
30	0.0	0.0	0.05	0.45	0.5	0.029006820358463775
31	0.0	0.0	0.05	0.5	0.45	0.03328753106141314
32	0.0	0.0	0.05	0.55	0.4	0.038816560580210324
33	0.0	0.0	0.05	0.6	0.35	0.042403143929962396
34	0.0	0.0	0.05	0.65	0.3	0.046567766146504784
35	0.0	0.0	0.05	0.7	0.25	0.052796297430404315
36	0.0	0.0	0.05	0.75	0.2	0.05380384131647539
37	0.0	0.0	0.05	0.8	0.15	0.05571588724412147
38	0.0	0.0	0.05	0.85	0.1	0.05429463753859189
39	0.0	0.0	0.05	0.9	0.05	0.051760502306551805
40	0.0	0.0	0.05	0.95	0.0	0.046350492158054486
41	0.0	0.0	0.1	0.0	0.9	0.0007038614075315402
42	0.0	0.0	0.1	0.05	0.85	0.002842755415703034
43	0.0	0.0	0.1	0.1	0.8	0.005416241669345636
44	0.0	0.0	0.1	0.15	0.75	0.008612163619183027
