ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	0	[0.8  0.05 0.05 0.05 0.05]	[-0.179  0.045  0.045  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.009720244224210991	0.897	0.071
1	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	0	[0.05 0.8  0.05 0.05 0.05]	[ 0.045 -0.179  0.045  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.0893487361025907	0.361	0.071
2	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	0	[0.05 0.05 0.8  0.05 0.05]	[ 0.045  0.045 -0.179  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.07213216891773018	0.977	0.071
3	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	0	[0.05 0.05 0.05 0.8  0.05]	[ 0.045  0.045  0.045 -0.179  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.001931275295651623	0.938	0.071
4	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	0	[0.05 0.05 0.05 0.05 0.8 ]	[ 0.045  0.045  0.045  0.045 -0.179]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.0030504979582336787	0.711	0.071
0	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	1	[0.749 0.145 0.007 0.092 0.007]	[-0.08   0.109 -0.07   0.11  -0.07 ]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.007543393483085907	0.82	0.071
1	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	1	[0.005 0.889 0.005 0.096 0.005]	[-0.073  0.104 -0.073  0.116 -0.073]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.05092249231533348	0.462	0.071
2	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	1	[0.007 0.147 0.748 0.091 0.007]	[-0.07   0.11  -0.08   0.109 -0.07 ]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.05193477538453905	0.904	0.071
3	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	1	[0.053 0.187 0.053 0.654 0.053]	[ 0.003  0.137  0.003 -0.145  0.003]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.01927351678573712	0.75	0.071
4	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	1	[0.007 0.147 0.007 0.091 0.748]	[-0.07   0.11  -0.07   0.109 -0.079]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.023977473591017883	0.611	0.071
0	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	2	[0.617 0.292 0.018 0.064 0.009]	[-0.132  0.147  0.011 -0.028  0.002]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.03279711848129159	0.647	0.071
1	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	2	[0.106 0.859 0.006 0.011 0.018]	[ 0.139 -0.142  0.016 -0.02   0.008]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.08402262133365397	0.42	0.071
2	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	2	[0.087 0.184 0.66  0.027 0.042]	[ 0.103  0.112 -0.046 -0.103 -0.066]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.06300151846926065	0.798	0.071
3	['Ir', 'Pd', 'Pt', 'Rh', 'Ru']	2	[0.051 0.315 0.042 0.558 0.034]	[ 0.071  0.127 -0.031 -0.128 -0.039]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.044598577618309494	0.623	0.071
