     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.22172,0.19561,0.17807,0.22927,0.17533,0.0580189
0.14164,0.29622,0.06378,0.26794,0.23042,0.0987042
0.00004,0.52698,0.00221,0.19729,0.27348,0.1408723
0.00433,0.77907,0.00089,0.21144,0.00426,0.0693533
0.00262,0.45469,0.00173,0.00382,0.53714,0.1317484
0.10981,0.56540,0.00123,0.00344,0.32012,0.1627173
0.00351,0.53791,0.18592,0.00407,0.26859,0.1513617
0.33766,0.52489,0.00277,0.00491,0.12977,0.1225618
0.20898,0.41086,0.00403,0.00293,0.37321,0.1330959
0.00015,0.00203,0.99380,0.00173,0.00229,0.0656562
0.00409,0.46070,0.53340,0.00010,0.00172,0.0683203
0.00427,0.00143,0.52391,0.00401,0.46638,0.0473927
0.00105,0.00072,0.00357,0.47576,0.51890,0.0001272
0.00309,0.00500,0.00242,0.98918,0.00032,0.0000002
0.98866,0.00334,0.00387,0.00340,0.00073,0.0001782
0.00402,0.65311,0.00349,0.00296,0.33641,0.1495945
0.00013,0.00186,0.60845,0.38698,0.00257,0.0678419
0.11676,0.56918,0.08008,0.00374,0.23024,0.1552698
0.00416,0.43044,0.00117,0.56194,0.00229,0.0389333
0.00255,0.46986,0.14793,0.00350,0.37616,0.1502148
0.10919,0.55061,0.00151,0.06126,0.27743,0.1635310
0.47466,0.00183,0.00458,0.51558,0.00335,0.0010283
0.00332,0.45532,0.28307,0.25784,0.00045,0.0997872
0.00479,0.00464,0.00134,0.00361,0.98561,0.0000000
0.32246,0.00350,0.67027,0.00295,0.00082,0.1547315
0.22829,0.00470,0.75914,0.00457,0.00330,0.1329505
0.48126,0.00389,0.50767,0.00364,0.00354,0.1550960
0.34586,0.13255,0.51646,0.00342,0.00170,0.0919722
0.34275,0.00046,0.54811,0.00042,0.10826,0.1250475
0.59154,0.00347,0.00215,0.00161,0.40124,0.0000002
0.25056,0.52026,0.00147,0.22292,0.00480,0.1135015
0.00118,0.51607,0.08260,0.08177,0.31837,0.1538205
0.33920,0.00098,0.54494,0.11078,0.00411,0.1218318
0.23859,0.75798,0.00079,0.00056,0.00208,0.1079769
0.00098,0.00193,0.32279,0.67258,0.00172,0.0191284
0.00413,0.73512,0.25889,0.00139,0.00047,0.0563610
0.00176,0.31617,0.41522,0.00388,0.26297,0.1039078
0.20898,0.00242,0.15412,0.00188,0.63260,0.0024738
0.00159,0.00459,0.40967,0.30221,0.28195,0.0218398
0.67654,0.31399,0.00351,0.00375,0.00220,0.0312358
0.12490,0.60071,0.00354,0.00235,0.26850,0.1598240
0.00318,0.37389,0.00383,0.16093,0.45816,0.1193087
0.62212,0.00136,0.37386,0.00015,0.00250,0.1338279
0.12173,0.55081,0.00015,0.08178,0.24553,0.1655026
0.11067,0.50596,0.09672,0.00277,0.28388,0.1528424
0.11920,0.56210,0.00495,0.08576,0.22800,0.1620720
0.08150,0.53811,0.08053,0.09556,0.20429,0.1562889
0.00493,0.00237,0.78062,0.00394,0.20815,0.0810171
0.33541,0.00114,0.00488,0.29377,0.36480,0.0002773
0.00194,0.49119,0.14688,0.11893,0.24106,0.1529933
0.26583,0.53500,0.19093,0.00368,0.00456,0.0900014
0.74119,0.00246,0.00397,0.25085,0.00153,0.0013845
0.00171,0.16140,0.72145,0.11237,0.00306,0.0466447
0.08196,0.53719,0.00172,0.04026,0.33887,0.1631877
0.00382,0.28745,0.17011,0.00051,0.53812,0.0853385
0.00385,0.00442,0.00093,0.74747,0.24333,0.0005880
0.10153,0.52409,0.00039,0.07592,0.29807,0.1612799
0.00276,0.45381,0.18490,0.12454,0.23400,0.1449658
0.09962,0.56364,0.00149,0.00062,0.33463,0.1636976
0.00181,0.58486,0.00302,0.00495,0.40536,0.1497659
0.00233,0.22808,0.34242,0.42228,0.00490,0.0398441
0.13101,0.52696,0.00354,0.09966,0.23883,0.1630545
0.41810,0.29289,0.00308,0.28272,0.00321,0.0540450
0.54073,0.00282,0.30357,0.00144,0.15144,0.0656474
0.13320,0.61799,0.00185,0.00471,0.24225,0.1643275
0.11993,0.56469,0.00202,0.00171,0.31165,0.1654643
0.11048,0.60776,0.00460,0.06873,0.20842,0.1620840
0.14219,0.51303,0.00222,0.09986,0.24270,0.1536747
0.11313,0.55990,0.00417,0.00485,0.31795,0.1553150
0.00366,0.61079,0.11229,0.00206,0.27120,0.1473564
0.27968,0.00090,0.31859,0.40073,0.00010,0.0390197
0.13261,0.63175,0.00166,0.00322,0.23076,0.1581001
0.10462,0.50572,0.10775,0.00111,0.28079,0.1508353
0.00065,0.53023,0.07212,0.22470,0.17231,0.1401521
0.10229,0.55092,0.00114,0.00490,0.34075,0.1649850
0.20791,0.00479,0.00021,0.78373,0.00336,0.0001515
0.00360,0.52905,0.25429,0.00422,0.20885,0.1421640
0.14360,0.61012,0.00026,0.00277,0.24325,0.1602021
0.00157,0.59957,0.00390,0.08731,0.30766,0.1463904
0.00158,0.25750,0.00286,0.00341,0.73465,0.0646560
0.10211,0.56108,0.06373,0.08665,0.18643,0.1545587
0.00208,0.54098,0.10000,0.00281,0.35413,0.1512847
0.10467,0.54490,0.00187,0.00279,0.34578,0.1601591
0.13660,0.52775,0.00071,0.10392,0.23102,0.1645664
0.13635,0.53086,0.00110,0.10322,0.22848,0.1558698
0.00151,0.37672,0.00399,0.35742,0.26036,0.1077976
0.09182,0.51932,0.00097,0.08105,0.30684,0.1617953
0.11121,0.52032,0.09621,0.00178,0.27048,0.1573874
0.13329,0.60059,0.00146,0.07517,0.18949,0.1606874
0.00256,0.98609,0.00393,0.00436,0.00305,0.0355145
0.14761,0.51143,0.00061,0.11921,0.22114,0.1577728
0.00498,0.00341,0.00289,0.20598,0.78273,0.0001431
0.00185,0.72198,0.00027,0.00046,0.27544,0.1240867
0.53233,0.00004,0.34886,0.11651,0.00226,0.1088166
0.00119,0.44618,0.16339,0.12472,0.26452,0.1489449
0.16565,0.58111,0.00306,0.00012,0.25006,0.1581646
0.10672,0.51404,0.00124,0.21182,0.16619,0.1500293
0.08870,0.51847,0.00154,0.07592,0.31537,0.1626216
0.09747,0.54365,0.09874,0.10129,0.15885,0.1557994
0.10844,0.45825,0.19592,0.00419,0.23321,0.1361400
0.13953,0.48153,0.13025,0.24830,0.00038,0.1075748
0.17060,0.57878,0.00051,0.00303,0.24708,0.1565742
0.18507,0.49939,0.00277,0.09242,0.22036,0.1545548
0.19824,0.00212,0.63874,0.00338,0.15751,0.1061466
0.57301,0.15509,0.27013,0.00167,0.00011,0.0678707
0.43068,0.00413,0.55700,0.00370,0.00449,0.1666223
0.08721,0.52235,0.00000,0.07291,0.31752,0.1591755
0.40853,0.31661,0.00374,0.00214,0.26898,0.0684827
0.08227,0.52179,0.00426,0.07549,0.31619,0.1640547
0.00176,0.47200,0.26869,0.10033,0.15722,0.1356551
0.06812,0.51472,0.05692,0.06610,0.29414,0.1647121
0.09974,0.53056,0.00342,0.00079,0.36550,0.1518421
0.05489,0.56412,0.00493,0.10040,0.27567,0.1608252
0.10683,0.49313,0.00031,0.09804,0.30170,0.1607467
0.12888,0.60519,0.00345,0.08131,0.18117,0.1629151
0.00302,0.57047,0.09825,0.09830,0.22996,0.1564900
0.09716,0.52679,0.00397,0.00269,0.36940,0.1572084
0.00342,0.51576,0.08213,0.07935,0.31934,0.1513546
0.25843,0.00324,0.00197,0.00245,0.73391,0.0000785
0.10199,0.57809,0.06321,0.06890,0.18780,0.1561438
0.00294,0.43718,0.13162,0.13585,0.29241,0.1430669
