     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.35846,0.42898,0.06316,0.09618,0.05322,0.0310841
0.33732,0.11274,0.19247,0.20893,0.14854,0.0750137
0.06926,0.00269,0.38161,0.33604,0.21040,0.1247268
0.00442,0.00097,0.06964,0.92496,0.00001,0.0526410
0.00250,0.00124,0.78842,0.18099,0.02684,0.0933493
0.00026,0.00269,0.38653,0.11004,0.50048,0.0853231
0.00186,0.00328,0.49996,0.49450,0.00040,0.0873301
0.00209,0.19567,0.45464,0.18536,0.16224,0.1262245
0.00404,0.16158,0.18188,0.38960,0.26289,0.0723394
0.11868,0.02003,0.52474,0.14956,0.18700,0.1419377
0.21357,0.17930,0.58004,0.00037,0.02672,0.1393391
0.10081,0.12916,0.58394,0.00404,0.18205,0.1506650
0.00077,0.39291,0.59911,0.00383,0.00336,0.1135417
0.24916,0.00005,0.56835,0.00103,0.18141,0.1223991
0.12994,0.21609,0.47080,0.00211,0.18106,0.1319910
0.25316,0.00425,0.47291,0.26615,0.00352,0.1274820
0.37071,0.00077,0.00007,0.62452,0.00393,0.0272517
0.00148,0.13804,0.65391,0.00151,0.20505,0.1604195
0.98500,0.00300,0.00361,0.00340,0.00499,0.0160662
0.00393,0.99201,0.00111,0.00137,0.00158,0.0000325
0.00126,0.41240,0.00063,0.00214,0.58356,0.0000001
0.58012,0.00222,0.41567,0.00188,0.00012,0.0474877
0.00371,0.00402,0.70400,0.00048,0.28778,0.1498620
0.33963,0.00004,0.00096,0.00375,0.65563,0.0085437
0.00057,0.00236,0.00001,0.58947,0.40759,0.0299788
0.00182,0.13849,0.72222,0.00170,0.13577,0.1452731
0.00415,0.44448,0.00011,0.54630,0.00496,0.1458163
0.00290,0.31596,0.00483,0.67286,0.00344,0.1272804
0.00171,0.37935,0.17734,0.43836,0.00324,0.0961294
0.00347,0.11627,0.59596,0.00491,0.27940,0.1510694
0.14666,0.37654,0.00350,0.47033,0.00297,0.0762725
0.22102,0.00082,0.77464,0.00280,0.00073,0.1935929
0.67241,0.00151,0.00131,0.00144,0.32334,0.0483566
0.00413,0.57428,0.27342,0.00125,0.14691,0.0378891
0.68824,0.00117,0.00318,0.30463,0.00278,0.0150336
0.30946,0.00407,0.00350,0.30626,0.37670,0.0210043
0.69823,0.29494,0.00270,0.00342,0.00072,0.0261003
0.00434,0.67062,0.00212,0.32072,0.00220,0.1223642
0.36541,0.28614,0.00093,0.00196,0.34557,0.0062808
0.00394,0.50018,0.00359,0.30458,0.18772,0.0449769
0.00202,0.00148,0.24448,0.66531,0.08672,0.0900615
0.00431,0.00465,0.00143,0.00085,0.98875,0.0000000
0.00354,0.00231,0.00110,0.28596,0.70710,0.0072721
0.20855,0.00378,0.27523,0.50841,0.00402,0.0978377
0.20017,0.44891,0.34609,0.00397,0.00086,0.0901038
0.00179,0.23432,0.32354,0.00173,0.43861,0.0581626
0.26752,0.00004,0.72826,0.00204,0.00214,0.1793086
0.26374,0.73334,0.00096,0.00026,0.00171,0.0009236
0.35653,0.00036,0.25036,0.00319,0.38957,0.0715848
0.15622,0.00450,0.83640,0.00277,0.00011,0.2054711
0.12950,0.20061,0.44660,0.21962,0.00367,0.1140308
0.46757,0.25349,0.27255,0.00377,0.00262,0.0856538
0.07418,0.00325,0.00233,0.76462,0.15562,0.0558357
0.00405,0.00316,0.25122,0.32168,0.41989,0.0683389
0.00080,0.56999,0.27368,0.15379,0.00175,0.0584482
0.00119,0.00216,0.23733,0.00070,0.75862,0.0131167
0.47447,0.00085,0.25594,0.26440,0.00434,0.0749616
0.70395,0.00029,0.17359,0.00359,0.11858,0.0534972
0.00176,0.22739,0.00269,0.24240,0.52576,0.0069681
0.09801,0.00444,0.49458,0.00270,0.40027,0.1238492
0.48544,0.21459,0.00204,0.29332,0.00460,0.0281184
0.00309,0.00330,0.56483,0.18223,0.24655,0.1473076
0.09031,0.00266,0.90159,0.00198,0.00346,0.1703065
0.18095,0.00005,0.81565,0.00279,0.00055,0.2075434
0.14280,0.06846,0.78360,0.00368,0.00145,0.1621388
0.00207,0.15600,0.27309,0.56856,0.00029,0.0902892
0.14323,0.00196,0.78660,0.00064,0.06758,0.1454429
0.36865,0.10449,0.37103,0.00048,0.15535,0.1039735
0.19431,0.00059,0.33574,0.16579,0.30356,0.1030327
0.31593,0.16785,0.37706,0.13547,0.00369,0.1089301
0.19294,0.00174,0.12005,0.48989,0.19539,0.0643608
