ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.8  0.05 0.05 0.05 0.05]	[-0.179  0.045  0.045  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.04718687326970261	1.034	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.8  0.05 0.05 0.05]	[ 0.045 -0.179  0.045  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.012897755965668866	1.138	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.8  0.05 0.05]	[ 0.045  0.045 -0.179  0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12550960571923736	0.141	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.8  0.05]	[ 0.045  0.045  0.045 -0.179  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.06781611567278917	1.138	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.05 0.8 ]	[ 0.045  0.045  0.045  0.045 -0.179]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.0009547274717013111	1.138	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.857 0.009 0.107 0.009 0.018]	[ 0.09  -0.107  0.086 -0.107  0.038]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.028753224424358004	1.026	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.05  0.677 0.204 0.051 0.018]	[ 0.    -0.124  0.154  0.001 -0.032]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.03705300452915041	0.943	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.003 0.008 0.879 0.008 0.102]	[-0.077 -0.07   0.094 -0.07   0.124]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.10944522881648178	0.182	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.042 0.042 0.216 0.698 0.002]	[-0.008 -0.008  0.166 -0.1   -0.048]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.0842974025862127	0.95	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.066 0.066 0.164 0.066 0.638]	[ 0.016  0.016  0.114  0.016 -0.162]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.020692825078127468	0.945	0.071
