Length Scale	MAE	R_square	RMSE
0.1	0.0826	-1.278	0.1486
0.12000000000000001	0.0701	-0.254	0.1289
0.14	0.0579	0.29	0.1118
0.16000000000000003	0.0482	0.543	0.0992
0.18000000000000002	0.0416	0.67	0.0906
0.2	0.0392	0.744	0.0837
0.22000000000000003	0.0375	0.796	0.0773
0.24000000000000002	0.0359	0.834	0.0711
0.26	0.0344	0.863	0.0657
0.28	0.033	0.884	0.0612
0.30000000000000004	0.0317	0.899	0.0577
0.32000000000000006	0.0308	0.91	0.055
0.3400000000000001	0.0301	0.917	0.0529
0.3600000000000001	0.0295	0.923	0.0511
0.38	0.0289	0.929	0.0493
0.4	0.0281	0.937	0.0469
0.42000000000000004	0.0271	0.946	0.0437
0.44000000000000006	0.0258	0.955	0.0404
0.4600000000000001	0.0245	0.962	0.0374
0.4800000000000001	0.0234	0.968	0.0349
0.5000000000000001	0.0231	0.971	0.033
0.5200000000000001	0.0232	0.973	0.0317
0.54	0.0234	0.974	0.0309
