Length Scale	MAE	R_square	RMSE
0.1	0.1347	-0.018	0.1738
0.12000000000000001	0.1088	0.423	0.1459
0.14	0.0876	0.663	0.1229
0.16000000000000003	0.0727	0.784	0.106
0.18000000000000002	0.0627	0.847	0.0937
0.2	0.0551	0.886	0.0837
0.22000000000000003	0.0484	0.913	0.075
0.24000000000000002	0.0435	0.931	0.0676
0.26	0.0387	0.946	0.0609
0.28	0.0348	0.957	0.055
0.30000000000000004	0.0312	0.965	0.0496
0.32000000000000006	0.0279	0.972	0.045
0.3400000000000001	0.0252	0.977	0.0412
0.3600000000000001	0.0235	0.98	0.0383
0.38	0.0226	0.982	0.0362
0.4	0.0219	0.984	0.0347
0.42000000000000004	0.0214	0.985	0.0337
0.44000000000000006	0.0211	0.985	0.0332
0.4600000000000001	0.0214	0.985	0.0336
0.4800000000000001	0.024	0.983	0.036
0.5000000000000001	0.0278	0.978	0.0401
0.5200000000000001	0.0299	0.975	0.0425
0.54	0.0315	0.974	0.044
