Length Scale	MAE	R_square	RMSE
0.1	0.0897	-1.356	0.1521
0.12000000000000001	0.0753	-0.32	0.1322
0.14	0.0637	0.252	0.1153
0.16000000000000003	0.0561	0.529	0.1032
0.18000000000000002	0.0497	0.671	0.0937
0.2	0.0463	0.759	0.0849
0.22000000000000003	0.0434	0.816	0.0771
0.24000000000000002	0.0417	0.854	0.0706
0.26	0.0397	0.88	0.0653
0.28	0.0378	0.897	0.0612
0.30000000000000004	0.0361	0.908	0.058
0.32000000000000006	0.0348	0.916	0.0556
0.3400000000000001	0.0338	0.923	0.0535
0.3600000000000001	0.0328	0.929	0.0514
0.38	0.0317	0.935	0.0491
0.4	0.0307	0.943	0.0465
0.42000000000000004	0.0297	0.95	0.0436
0.44000000000000006	0.0285	0.957	0.0407
0.4600000000000001	0.0273	0.963	0.038
0.4800000000000001	0.0261	0.968	0.0356
0.5000000000000001	0.025	0.972	0.0337
0.5200000000000001	0.0248	0.974	0.0322
0.54	0.0249	0.975	0.0313
