Length Scale	MAE	R_square	RMSE
0.1	0.0908	0.255	0.1578
0.12000000000000001	0.0732	0.562	0.1328
0.14	0.0584	0.734	0.1118
0.16000000000000003	0.0463	0.831	0.0946
0.18000000000000002	0.0366	0.888	0.0804
0.2	0.0296	0.925	0.0682
0.22000000000000003	0.0249	0.949	0.0578
0.24000000000000002	0.0213	0.965	0.0488
0.26	0.0183	0.976	0.0411
0.28	0.0155	0.983	0.0347
0.30000000000000004	0.013	0.988	0.0293
0.32000000000000006	0.0109	0.992	0.0249
0.3400000000000001	0.0092	0.994	0.0213
0.3600000000000001	0.008	0.995	0.0185
0.38	0.0071	0.996	0.0163
0.4	0.0066	0.997	0.0148
0.42000000000000004	0.0064	0.997	0.0139
0.44000000000000006	0.0065	0.998	0.0136
0.4600000000000001	0.0069	0.997	0.0139
0.4800000000000001	0.0073	0.997	0.0148
0.5000000000000001	0.008	0.997	0.0161
0.5200000000000001	0.0089	0.996	0.0178
0.54	0.0109	0.994	0.0213
