Length Scale	MAE	R_square	RMSE
0.1	0.0943	-0.259	0.1685
0.12000000000000001	0.0787	0.28	0.1442
0.14	0.0661	0.57	0.124
0.16000000000000003	0.0566	0.711	0.1103
0.18000000000000002	0.0511	0.781	0.1013
0.2	0.0467	0.828	0.0929
0.22000000000000003	0.0414	0.866	0.0842
0.24000000000000002	0.0364	0.893	0.0768
0.26	0.0326	0.912	0.0709
0.28	0.0295	0.925	0.0663
0.30000000000000004	0.0274	0.934	0.0625
0.32000000000000006	0.0259	0.941	0.0593
0.3400000000000001	0.0251	0.946	0.057
0.3600000000000001	0.0247	0.949	0.0555
0.38	0.0248	0.95	0.0551
0.4	0.0253	0.949	0.0558
0.42000000000000004	0.026	0.946	0.0572
0.44000000000000006	0.027	0.942	0.0591
0.4600000000000001	0.028	0.937	0.0611
0.4800000000000001	0.0289	0.933	0.063
0.5000000000000001	0.0299	0.93	0.0646
0.5200000000000001	0.0307	0.927	0.0657
0.54	0.0314	0.926	0.0664
