Length Scale	MAE	R_square	RMSE
0.1	0.1169	-0.706	0.1909
0.12000000000000001	0.099	0.017	0.1667
0.14	0.0853	0.4	0.147
0.16000000000000003	0.0754	0.592	0.1331
0.18000000000000002	0.0676	0.7	0.1225
0.2	0.0628	0.77	0.1125
0.22000000000000003	0.0567	0.816	0.1032
0.24000000000000002	0.0507	0.847	0.0958
0.26	0.0455	0.869	0.0897
0.28	0.0413	0.886	0.0846
0.30000000000000004	0.0381	0.899	0.0803
0.32000000000000006	0.0355	0.909	0.0766
0.3400000000000001	0.0333	0.918	0.0734
0.3600000000000001	0.0318	0.924	0.0707
0.38	0.0305	0.93	0.0686
0.4	0.0295	0.934	0.067
0.42000000000000004	0.0292	0.936	0.0659
0.44000000000000006	0.029	0.938	0.0652
0.4600000000000001	0.0292	0.938	0.065
0.4800000000000001	0.0301	0.938	0.0654
0.5000000000000001	0.0314	0.936	0.0662
0.5200000000000001	0.0328	0.934	0.0673
0.54	0.0339	0.932	0.0683
