Length Scale	MAE	R_square	RMSE
0.1	0.0714	-0.2	0.1539
0.12000000000000001	0.0596	0.307	0.1305
0.14	0.0491	0.593	0.1102
0.16000000000000003	0.0408	0.746	0.0941
0.18000000000000002	0.0343	0.834	0.0809
0.2	0.0299	0.888	0.0694
0.22000000000000003	0.026	0.922	0.0597
0.24000000000000002	0.0227	0.944	0.0518
0.26	0.0205	0.958	0.0457
0.28	0.019	0.966	0.0413
0.30000000000000004	0.0179	0.972	0.0381
0.32000000000000006	0.0172	0.975	0.0358
0.3400000000000001	0.0168	0.977	0.0341
0.3600000000000001	0.0165	0.979	0.033
0.38	0.0164	0.98	0.0324
0.4	0.0165	0.98	0.0323
0.42000000000000004	0.0167	0.979	0.0327
0.44000000000000006	0.0171	0.978	0.0335
0.4600000000000001	0.0176	0.976	0.0347
0.4800000000000001	0.0183	0.974	0.036
0.5000000000000001	0.0191	0.972	0.0374
0.5200000000000001	0.02	0.97	0.0387
0.54	0.0208	0.969	0.0398
