Length Scale	MAE	R_square	RMSE
0.1	0.0706	0.048	0.1515
0.12000000000000001	0.0553	0.506	0.1236
0.14	0.0424	0.733	0.1005
0.16000000000000003	0.0325	0.844	0.0828
0.18000000000000002	0.0252	0.901	0.0693
0.2	0.0206	0.934	0.0587
0.22000000000000003	0.0177	0.955	0.0499
0.24000000000000002	0.0152	0.968	0.0425
0.26	0.013	0.978	0.0362
0.28	0.0111	0.984	0.0308
0.30000000000000004	0.0095	0.989	0.0262
0.32000000000000006	0.0081	0.992	0.0223
0.3400000000000001	0.0069	0.994	0.0191
0.3600000000000001	0.0059	0.996	0.0164
0.38	0.0052	0.997	0.0144
0.4	0.0047	0.997	0.013
0.42000000000000004	0.0045	0.998	0.0121
0.44000000000000006	0.0045	0.998	0.0117
0.4600000000000001	0.0046	0.998	0.0117
0.4800000000000001	0.0048	0.998	0.012
0.5000000000000001	0.0051	0.998	0.0125
0.5200000000000001	0.0055	0.997	0.0132
0.54	0.0059	0.997	0.0141
