Length Scale	MAE	R_square	RMSE
0.1	0.054	-2.31	0.1238
0.12000000000000001	0.0453	-0.63	0.1059
0.14	0.038	0.173	0.0901
0.16000000000000003	0.0319	0.529	0.0778
0.18000000000000002	0.0273	0.696	0.0686
0.2	0.025	0.785	0.0614
0.22000000000000003	0.0233	0.84	0.0552
0.24000000000000002	0.0213	0.88	0.0491
0.26	0.0192	0.911	0.0432
0.28	0.0174	0.934	0.0378
0.30000000000000004	0.016	0.951	0.0332
0.32000000000000006	0.0149	0.962	0.0295
0.3400000000000001	0.0143	0.969	0.0267
0.3600000000000001	0.0137	0.974	0.0247
0.38	0.0134	0.978	0.0232
0.4	0.0131	0.98	0.022
0.42000000000000004	0.0128	0.982	0.0209
0.44000000000000006	0.0125	0.984	0.0198
0.4600000000000001	0.0123	0.986	0.0187
0.4800000000000001	0.0121	0.987	0.0177
0.5000000000000001	0.0118	0.988	0.0171
0.5200000000000001	0.0118	0.989	0.0171
0.54	0.0123	0.988	0.0176
