Length Scale	MAE	R_square	RMSE
0.1	0.1265	-0.467	0.2051
0.12000000000000001	0.1043	0.171	0.1781
0.14	0.088	0.482	0.157
0.16000000000000003	0.0782	0.644	0.1408
0.18000000000000002	0.07	0.741	0.1272
0.2	0.0623	0.805	0.1147
0.22000000000000003	0.055	0.853	0.1029
0.24000000000000002	0.0493	0.889	0.092
0.26	0.0449	0.914	0.0823
0.28	0.0407	0.932	0.0739
0.30000000000000004	0.0369	0.946	0.0669
0.32000000000000006	0.0338	0.955	0.0615
0.3400000000000001	0.0312	0.962	0.0572
0.3600000000000001	0.0292	0.966	0.0539
0.38	0.0273	0.97	0.0509
0.4	0.0255	0.974	0.0479
0.42000000000000004	0.0243	0.978	0.0446
0.44000000000000006	0.023	0.982	0.041
0.4600000000000001	0.0217	0.985	0.0372
0.4800000000000001	0.0206	0.988	0.0336
0.5000000000000001	0.0194	0.99	0.0305
0.5200000000000001	0.0185	0.992	0.0283
0.54	0.0185	0.992	0.0276
