Length Scale	MAE	R_square	RMSE
0.1	0.0759	-0.076	0.1593
0.12000000000000001	0.0627	0.369	0.1361
0.14	0.0511	0.615	0.1165
0.16000000000000003	0.0413	0.753	0.1002
0.18000000000000002	0.0335	0.836	0.0862
0.2	0.028	0.888	0.074
0.22000000000000003	0.0235	0.923	0.0634
0.24000000000000002	0.0196	0.946	0.0543
0.26	0.0162	0.961	0.0467
0.28	0.0137	0.972	0.0405
0.30000000000000004	0.0116	0.979	0.0356
0.32000000000000006	0.0099	0.983	0.0317
0.3400000000000001	0.0086	0.987	0.0288
0.3600000000000001	0.0078	0.989	0.0266
0.38	0.0074	0.99	0.025
0.4	0.0072	0.991	0.0238
0.42000000000000004	0.007	0.992	0.0229
0.44000000000000006	0.0071	0.992	0.0223
0.4600000000000001	0.0071	0.993	0.0218
0.4800000000000001	0.0072	0.993	0.0215
0.5000000000000001	0.0074	0.993	0.0214
0.5200000000000001	0.0077	0.993	0.0214
0.54	0.008	0.993	0.0216
