Length Scale	MAE	R_square	RMSE
0.1	0.0772	-0.23	0.1592
0.12000000000000001	0.0639	0.268	0.1362
0.14	0.0533	0.562	0.1159
0.16000000000000003	0.0445	0.727	0.0992
0.18000000000000002	0.038	0.823	0.0851
0.2	0.0331	0.882	0.0729
0.22000000000000003	0.0294	0.918	0.0629
0.24000000000000002	0.0261	0.94	0.055
0.26	0.0235	0.954	0.049
0.28	0.0216	0.963	0.0445
0.30000000000000004	0.0201	0.969	0.0411
0.32000000000000006	0.0191	0.973	0.0385
0.3400000000000001	0.0185	0.975	0.0365
0.3600000000000001	0.018	0.977	0.0351
0.38	0.0177	0.978	0.0342
0.4	0.0177	0.979	0.0338
0.42000000000000004	0.0178	0.979	0.034
0.44000000000000006	0.0182	0.978	0.0345
0.4600000000000001	0.0187	0.977	0.0354
0.4800000000000001	0.0193	0.975	0.0365
0.5000000000000001	0.02	0.974	0.0376
0.5200000000000001	0.0208	0.972	0.0387
0.54	0.0215	0.971	0.0396
