Length Scale	MAE	R_square	RMSE
0.1	0.0723	-3.613	0.1521
0.12000000000000001	0.0651	-2.191	0.1428
0.14	0.0586	-1.211	0.134
0.16000000000000003	0.0534	-0.568	0.1258
0.18000000000000002	0.0486	-0.156	0.1178
0.2	0.0446	0.12	0.11
0.22000000000000003	0.0418	0.314	0.1024
0.24000000000000002	0.0391	0.453	0.0954
0.26	0.0367	0.553	0.0891
0.28	0.0342	0.63	0.0833
0.30000000000000004	0.0319	0.695	0.0777
0.32000000000000006	0.0296	0.751	0.072
0.3400000000000001	0.0273	0.8	0.066
0.3600000000000001	0.0252	0.844	0.0598
0.38	0.0233	0.88	0.0536
0.4	0.0216	0.91	0.0477
0.42000000000000004	0.0201	0.932	0.0424
0.44000000000000006	0.0189	0.948	0.038
0.4600000000000001	0.0182	0.959	0.0347
0.4800000000000001	0.018	0.965	0.0324
0.5000000000000001	0.0183	0.968	0.031
0.5200000000000001	0.019	0.969	0.0304
0.54	0.0195	0.969	0.0303
