Length Scale	MAE	R_square	RMSE
0.1	0.0846	0.145	0.1602
0.12000000000000001	0.0687	0.501	0.1356
0.14	0.0551	0.696	0.1151
0.16000000000000003	0.044	0.804	0.0983
0.18000000000000002	0.0354	0.87	0.0839
0.2	0.0294	0.913	0.071
0.22000000000000003	0.025	0.942	0.0595
0.24000000000000002	0.0209	0.962	0.0493
0.26	0.0173	0.975	0.0407
0.28	0.0143	0.983	0.0337
0.30000000000000004	0.0117	0.989	0.028
0.32000000000000006	0.0098	0.992	0.0235
0.3400000000000001	0.0083	0.994	0.0201
0.3600000000000001	0.0072	0.996	0.0177
0.38	0.0067	0.996	0.0161
0.4	0.0065	0.997	0.0151
0.42000000000000004	0.0064	0.997	0.0147
0.44000000000000006	0.0066	0.997	0.0148
0.4600000000000001	0.007	0.997	0.0154
0.4800000000000001	0.0074	0.996	0.0162
0.5000000000000001	0.008	0.996	0.0174
0.5200000000000001	0.0087	0.995	0.0189
0.54	0.0095	0.994	0.0206
