Length Scale	MAE	R_square	RMSE
0.1	0.0855	-3.61	0.1312
0.12000000000000001	0.0738	-1.672	0.1172
0.14	0.0634	-0.531	0.1041
0.16000000000000003	0.0546	0.087	0.0917
0.18000000000000002	0.0478	0.438	0.0797
0.2	0.0412	0.643	0.0688
0.22000000000000003	0.0359	0.761	0.0598
0.24000000000000002	0.0326	0.828	0.0532
0.26	0.0296	0.866	0.0485
0.28	0.027	0.889	0.0453
0.30000000000000004	0.0252	0.903	0.0432
0.32000000000000006	0.024	0.911	0.0418
0.3400000000000001	0.0236	0.916	0.0412
0.3600000000000001	0.024	0.918	0.0412
0.38	0.0246	0.918	0.0417
0.4	0.0262	0.915	0.0427
0.42000000000000004	0.0281	0.91	0.0443
0.44000000000000006	0.0313	0.902	0.0468
0.4600000000000001	0.0365	0.883	0.0517
0.4800000000000001	0.04	0.861	0.0566
0.5000000000000001	0.0508	0.617	0.0786
0.5200000000000001	0.0564	0.529	0.0841
0.54	0.0608	0.428	0.0891
