Length Scale	MAE	R_square	RMSE
0.1	0.1323	-0.296	0.1917
0.12000000000000001	0.1091	0.292	0.1658
0.14	0.0914	0.554	0.1472
0.16000000000000003	0.0802	0.685	0.1335
0.18000000000000002	0.0713	0.761	0.1225
0.2	0.0639	0.812	0.1126
0.22000000000000003	0.0578	0.85	0.1032
0.24000000000000002	0.0533	0.88	0.0945
0.26	0.0494	0.903	0.0864
0.28	0.0441	0.923	0.0783
0.30000000000000004	0.0397	0.937	0.0718
0.32000000000000006	0.0363	0.948	0.0658
0.3400000000000001	0.033	0.959	0.0594
0.3600000000000001	0.0299	0.967	0.0533
0.38	0.0269	0.974	0.0482
0.4	0.025	0.978	0.0439
0.42000000000000004	0.024	0.982	0.0402
0.44000000000000006	0.0228	0.985	0.0368
0.4600000000000001	0.0223	0.988	0.034
0.4800000000000001	0.0212	0.989	0.0316
0.5000000000000001	0.0206	0.991	0.0298
0.5200000000000001	0.0205	0.991	0.0292
0.54	0.021	0.991	0.0297
