Length Scale	MAE	R_square	RMSE
0.1	0.0681	-3.696	0.1035
0.12000000000000001	0.0651	-2.903	0.0988
0.14	0.0633	-2.099	0.0937
0.16000000000000003	0.061	-1.417	0.0886
0.18000000000000002	0.0584	-0.889	0.0837
0.2	0.0552	-0.477	0.0788
0.22000000000000003	0.0514	-0.136	0.0732
0.24000000000000002	0.0469	0.157	0.0667
0.26	0.0421	0.396	0.06
0.28	0.0377	0.571	0.054
0.30000000000000004	0.0341	0.682	0.0497
0.32000000000000006	0.0319	0.743	0.0478
0.3400000000000001	0.0357	0.768	0.0486
0.3600000000000001	0.0378	0.775	0.0495
0.38	0.0409	0.745	0.0534
0.4	0.0431	0.641	0.0571
0.42000000000000004	0.0468	0.524	0.0631
0.44000000000000006	0.0484	0.385	0.0683
0.4600000000000001	0.051	0.237	0.0729
0.4800000000000001	0.0554	-0.155	0.0833
0.5000000000000001	0.0568	-0.298	0.0863
0.5200000000000001	0.058	-0.418	0.0886
0.54	0.0589	-0.524	0.0904
