Length Scale	MAE	R_square	RMSE
0.1	0.1162	-0.404	0.18
0.12000000000000001	0.0935	0.269	0.1511
0.14	0.0762	0.604	0.1275
0.16000000000000003	0.0632	0.756	0.1114
0.18000000000000002	0.0549	0.825	0.1005
0.2	0.0498	0.863	0.0924
0.22000000000000003	0.046	0.885	0.0865
0.24000000000000002	0.042	0.898	0.0821
0.26	0.0386	0.907	0.079
0.28	0.0358	0.913	0.0766
0.30000000000000004	0.0337	0.918	0.0745
0.32000000000000006	0.032	0.922	0.0727
0.3400000000000001	0.0309	0.926	0.071
0.3600000000000001	0.0305	0.929	0.0696
0.38	0.0302	0.932	0.0686
0.4	0.03	0.934	0.0679
0.42000000000000004	0.03	0.934	0.0677
0.44000000000000006	0.0302	0.934	0.0679
0.4600000000000001	0.0308	0.933	0.0685
0.4800000000000001	0.0317	0.932	0.0694
0.5000000000000001	0.0327	0.93	0.0704
0.5200000000000001	0.0336	0.928	0.0713
0.54	0.0342	0.927	0.0716
