Length Scale	MAE	R_square	RMSE
0.1	0.126	-3.901	0.1571
0.12000000000000001	0.1159	-2.346	0.1472
0.14	0.1066	-1.313	0.1382
0.16000000000000003	0.097	-0.653	0.1298
0.18000000000000002	0.0871	-0.226	0.1217
0.2	0.0801	0.06	0.1141
0.22000000000000003	0.0743	0.257	0.1074
0.24000000000000002	0.0713	0.397	0.1015
0.26	0.0679	0.501	0.0961
0.28	0.0645	0.583	0.091
0.30000000000000004	0.0614	0.65	0.0857
0.32000000000000006	0.0577	0.706	0.0802
0.3400000000000001	0.054	0.753	0.0748
0.3600000000000001	0.0504	0.794	0.0697
0.38	0.0473	0.828	0.0649
0.4	0.0443	0.854	0.0607
0.42000000000000004	0.0412	0.876	0.0567
0.44000000000000006	0.0383	0.893	0.0531
0.4600000000000001	0.0362	0.906	0.0501
0.4800000000000001	0.0351	0.913	0.0482
0.5000000000000001	0.0398	0.864	0.0571
0.5200000000000001	0.0452	0.788	0.0681
0.54	0.049	0.73	0.0746
