Length Scale	MAE	R_square	RMSE
0.1	0.0582	-2.362	0.1277
0.12000000000000001	0.049	-0.669	0.1096
0.14	0.0407	0.151	0.0933
0.16000000000000003	0.0344	0.518	0.0808
0.18000000000000002	0.0297	0.689	0.0715
0.2	0.027	0.779	0.0641
0.22000000000000003	0.0247	0.836	0.0575
0.24000000000000002	0.0224	0.879	0.0509
0.26	0.0202	0.912	0.0445
0.28	0.0183	0.936	0.0386
0.30000000000000004	0.0169	0.953	0.0337
0.32000000000000006	0.0159	0.964	0.0299
0.3400000000000001	0.0154	0.971	0.0271
0.3600000000000001	0.0149	0.975	0.0252
0.38	0.0146	0.978	0.0238
0.4	0.0143	0.98	0.0228
0.42000000000000004	0.014	0.981	0.022
0.44000000000000006	0.0137	0.983	0.0214
0.4600000000000001	0.0133	0.984	0.0208
0.4800000000000001	0.0133	0.985	0.0203
0.5000000000000001	0.0133	0.985	0.02
0.5200000000000001	0.0132	0.985	0.0199
0.54	0.0136	0.985	0.0201
