Length Scale	MAE	R_square	RMSE
0.1	0.0446	-0.713	0.062
0.12000000000000001	0.0427	-0.286	0.0601
0.14	0.0415	-0.073	0.0601
0.16000000000000003	0.0415	0.038	0.0611
0.18000000000000002	0.042	0.099	0.0624
0.2	0.0425	0.134	0.0639
0.22000000000000003	0.0441	0.109	0.0659
0.24000000000000002	0.0452	0.028	0.0674
0.26	0.0458	-0.026	0.068
0.28	0.0459	-0.057	0.0681
0.30000000000000004	0.046	-0.073	0.068
0.32000000000000006	0.0461	-0.081	0.0676
0.3400000000000001	0.0464	-0.086	0.0673
0.3600000000000001	0.0465	-0.086	0.0667
0.38	0.0466	-0.086	0.0663
0.4	0.0468	-0.087	0.0659
0.42000000000000004	0.0469	-0.089	0.0656
0.44000000000000006	0.047	-0.093	0.0653
0.4600000000000001	0.0471	-0.098	0.065
0.4800000000000001	0.0471	-0.104	0.0647
0.5000000000000001	0.0472	-0.111	0.0645
0.5200000000000001	0.0473	-0.12	0.0643
0.54	0.0473	-0.13	0.0641
