Length Scale	MAE	R_square	RMSE
0.1	0.0843	0.014	0.1635
0.12000000000000001	0.0691	0.428	0.138
0.14	0.0554	0.662	0.116
0.16000000000000003	0.044	0.792	0.0976
0.18000000000000002	0.035	0.867	0.0822
0.2	0.0285	0.913	0.0691
0.22000000000000003	0.0239	0.942	0.058
0.24000000000000002	0.0199	0.962	0.0485
0.26	0.0165	0.974	0.0404
0.28	0.0138	0.982	0.0338
0.30000000000000004	0.0116	0.988	0.0284
0.32000000000000006	0.0098	0.991	0.0242
0.3400000000000001	0.0084	0.994	0.021
0.3600000000000001	0.0074	0.995	0.0187
0.38	0.0068	0.996	0.0172
0.4	0.0064	0.996	0.0163
0.42000000000000004	0.0062	0.996	0.0159
0.44000000000000006	0.0062	0.996	0.016
0.4600000000000001	0.0063	0.996	0.0164
0.4800000000000001	0.0066	0.996	0.0171
0.5000000000000001	0.0071	0.995	0.018
0.5200000000000001	0.0076	0.995	0.0192
0.54	0.0082	0.994	0.0205
