  n,     Ag,     Ir,     Pd,     Pt,     Ru,    act,   C**2,      l
  2,0.24000,0.08000,0.35000,0.30500,0.02500,0.10495,0.00575,0.38784
  3,0.26000,0.02000,0.42500,0.29500,0.00000,0.11171,0.00518,0.57148
  4,0.11000,0.00000,0.59000,0.30000,0.00000,0.12421,0.00550,0.70815
  5,0.07000,0.08500,0.61500,0.23000,0.00000,0.12420,0.00487,0.73564
  6,0.12000,0.11500,0.62500,0.14000,0.00000,0.12680,0.00375,0.62622
  7,0.05000,0.00000,0.69000,0.00000,0.26000,0.14796,0.00479,0.62988
  8,0.05000,0.00000,0.71000,0.00000,0.24000,0.14782,0.00443,0.64409
  9,0.00000,0.00000,0.76500,0.00000,0.23500,0.15209,0.00512,0.68225
 10,0.00000,0.00000,0.76500,0.00000,0.23500,0.15170,0.00473,0.67397
 11,0.00000,0.05500,0.64000,0.06000,0.24500,0.14994,0.00342,0.50375
 12,0.00000,0.07000,0.62500,0.07500,0.23000,0.15289,0.00324,0.50158
 13,0.00000,0.07000,0.62500,0.07500,0.23000,0.15278,0.00293,0.50018
 14,0.00000,0.06500,0.63000,0.06500,0.24000,0.15303,0.00288,0.49555
 15,0.00000,0.10500,0.63000,0.02500,0.24000,0.15438,0.00283,0.49776
 16,0.00000,0.09500,0.64500,0.03000,0.23000,0.15530,0.00277,0.46866
 17,0.00000,0.09500,0.64500,0.03000,0.23000,0.15523,0.00263,0.45976
 18,0.00000,0.09500,0.64500,0.03000,0.23000,0.15519,0.00244,0.45626
 19,0.00000,0.09500,0.64500,0.03000,0.23000,0.15511,0.00240,0.45865
 20,0.01000,0.11000,0.64500,0.02500,0.21000,0.15571,0.00256,0.45022
 21,0.01000,0.11000,0.64500,0.02500,0.21000,0.15559,0.00251,0.45642
 22,0.01000,0.10500,0.64500,0.03000,0.21000,0.15561,0.00241,0.45413
 23,0.00500,0.12000,0.65500,0.01500,0.20500,0.15772,0.00247,0.44871
 24,0.00500,0.12000,0.65500,0.01500,0.20500,0.15768,0.00233,0.44722
 25,0.00000,0.10500,0.65000,0.02000,0.22500,0.15675,0.00230,0.44649
 26,0.00500,0.11000,0.64500,0.02000,0.22000,0.15611,0.00243,0.45954
